Pick,Player,Position,Team,Bye,DraftedBy,Status
1,B. Robinson,RB,Atl,11,Bone Crushers,
2,J. Gibbs,RB,Det,6,Locked In Michelle,
3,J. Chase,WR,Cin,6,Steel City,Q
4,P. Nacua,WR,LAR,11,Game Plan Nicole,Q
5,S. Barkley,RB,Phi,10,Monday Night Madison,
6,J. Taylor,RB,Ind,13,Max's TD Bombers,
7,C. McCaffrey,RB,SF,8,Jason's Jazzy Team,Q
8,A. St. Brown,WR,Det,6,Sunday Kevin,
9,J. Smith-Njigba,WR,Sea,11,Maybe Mitchell,
10,J. Williams,RB,Dal,14,Your Team,
11,D. Henry,RB,Bal,13,Your Team,
12,J. Jefferson,WR,Min,6,Maybe Mitchell,
13,J. Cook III,RB,Buf,7,Sunday Kevin,
14,D. Achane,RB,Mia,6,Jason's Jazzy Team,
15,K. Walker III,RB,KC,5,Max's TD Bombers,
16,O. Hampton,RB,LAC,7,Monday Night Madison,
17,C. Lamb,WR,Dal,14,Game Plan Nicole,
18,C. Brown,RB,Cin,6,Steel City,
19,K. Williams,RB,LAR,11,Locked In Michelle,
20,D. London,WR,Atl,11,Bone Crushers,
21,J. Allen,QB,Buf,7,Bone Crushers,
22,G. Pickens,WR,Dal,14,Locked In Michelle,
23,N. Collins,WR,Hou,8,Steel City,
24,B. Bowers,TE,LV,13,Game Plan Nicole,
25,A. Brown,WR,NE,11,Monday Night Madison,
26,A. Jeanty,RB,LV,13,Max's TD Bombers,Q
27,T. Higgins,WR,Cin,6,Jason's Jazzy Team,Q
28,C. Olave,WR,NO,8,Sunday Kevin,
29,T. McBride,TE,Ari,14,Maybe Mitchell,
30,D. Adams,WR,LAR,11,Your Team,
31,T. Etienne Jr.,RB,NO,8,Your Team,
32,B. Hall,RB,NYJ,13,Maybe Mitchell,Q
33,M. Nabers,WR,NYG,8,Sunday Kevin,Q
34,Z. Flowers,WR,Bal,13,Jason's Jazzy Team,Q
35,D. Smith,WR,Phi,10,Max's TD Bombers,
36,J. Love,RB,Ari,14,Monday Night Madison,Q
37,J. Waddle,WR,Den,10,Game Plan Nicole,
38,G. Wilson,WR,NYJ,13,Steel City,
39,R. Rice,WR,KC,5,Locked In Michelle,
