season,week,player,pos,nfl_team,slot,started,proj,actual
2026,2,P. Mahomes,QB,KC,QB,TRUE,18.50,28.98
2026,2,J. Williams,RB,Dal,RB,TRUE,15.75,6.50
2026,2,D. Henry,RB,Bal,RB,TRUE,15.58,16.20
2026,2,D. Adams,WR,LAR,WR,TRUE,10.02,35.50
2026,2,C. Sutton,WR,Den,WR,TRUE,8.98,4.00
2026,2,J. Ferguson,TE,Dal,TE,TRUE,8.11,18.30
2026,2,T. Etienne Jr.,RB,NO,FLEX,TRUE,9.41,6.10
2026,2,C. McLaughlin,K,TB,K,TRUE,7.69,16.00
2026,2,Patriots,DEF,NE,DEF,TRUE,6.86,21.00
2026,2,M. Stafford,QB,LAR,BN,FALSE,18.22,27.98
2026,2,R. Odunze,WR,Chi,BN,FALSE,8.64,5.80
2026,2,K. Gainwell,RB,TB,BN,FALSE,8.01,3.00
2026,2,W. Marks,RB,Hou,BN,FALSE,7.44,6.00
2026,2,W. Robinson,WR,Ten,BN,FALSE,6.96,1.40
2026,2,K. Raymond,WR,Chi,BN,FALSE,3.47,6.50
