"gsis_id","player","pos","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"00-0038134","Kenneth Walker III","RB","KC",2,63,31.5,16,47,0.236279069767442,0.731203007518797,0.75,53.4,26.7,369,2,5,0.847619047619048,1,1.34893569597682,"hold volume + results"
"00-0039139","Jahmyr Gibbs","RB","DET",2,58,29,13,45,0.169365721997301,0.839393939393939,0.785,51.4,25.7,299,3,-10,0.886206896551724,0.990654205607477,1.41034598047015,"hold volume + results"
"00-0040122","Ashton Jeanty","RB","LV",2,57,28.5,13,44,0.224137931034483,0.694444444444444,0.775,38,19,210,2,-1,0.666666666666667,0.981308411214953,1.06096065975705,"hold volume + results"
"00-0036223","Jonathan Taylor","RB","IND",2,51,25.5,8,43,0.135632183908046,0.85,0.915,50.8,25.4,253,4,5,0.996078431372549,0.962616822429907,1.58520004457818,"hold volume + results"
"00-0038542","Bijan Robinson","RB","ATL",2,51,25.5,14,37,0.3276740237691,0.588709677419355,0.64,36.9,18.45,254,1,-11,0.723529411764706,0.962616822429907,1.15145436308927,"hold volume + results"
"00-0038597","Chase Brown","RB","CIN",2,47,23.5,11,36,0.16888045540797,0.731078904991948,0.71,26,13,160,1,3,0.553191489361702,0.953271028037383,0.880371611287764,"hold volume + results"
"00-0038120","Breece Hall","RB","NYJ",2,45,22.5,7,38,0.11292270531401,0.578347578347578,0.615,30.5,15.25,210,1,-3,0.677777777777778,0.94392523364486,1.07864333741967,"hold volume + results"
"00-0032764","Derrick Henry","RB","BAL",2,44,22,4,40,0.0725574712643678,0.687960687960688,0.535,51,25.5,250,4,-6,1.15909090909091,0.934579439252336,1.84462478344123,"hold volume + results"
"00-0039040","De'Von Achane","RB","MIA",2,42,21,11,31,0.223027375201288,0.662698412698413,0.81,19.4,9.7,159,0,10,0.461904761904762,0.925233644859813,0.735094171403098,"BUY  volume, results lagging"
"00-0037248","James Cook","RB","BUF",2,41,20.5,7,34,0.125,0.601190476190476,0.73,28.8,14.4,208,1,7,0.702439024390244,0.91588785046729,1.11789025613426,"hold volume + results"
"00-0036275","D'Andre Swift","RB","CHI",2,40,20,6,34,0.102564102564103,0.488833746898263,0.625,42.3,21.15,233,3,2,1.0575,0.906542056074766,1.68294884653962,"hold volume + results"
"00-0040666","Omarion Hampton","RB","LAC",2,37,18.5,2,35,0.0384615384615385,0.645089285714286,0.605,24.8,12.4,158,2,13,0.67027027027027,0.897196261682243,1.06669558224222,"hold volume + results"
"00-0033293","Aaron Jones","RB","MIN",2,36,18,1,35,0.0217391304347826,0.58718487394958,0.635,20.5,10.25,145,1,10,0.569444444444444,0.878504672897196,0.906237230209146,"hold volume + results"
"00-0039361","Bucky Irving","RB","TB",2,36,18,11,25,0.19023569023569,0.54,0.695,27.8,13.9,183,1,6,0.772222222222222,0.878504672897196,1.22894609755192,"hold volume + results"
"00-0040715","Cam Skattebo","RB","NYG",2,34,17,4,30,0.0625,0.528957528957529,0.6,21.6,10.8,136,1,-2,0.635294117647059,0.869158878504673,1.01103309929789,"hold volume + results"
"00-0036997","Javonte Williams","RB","DAL",2,33,16.5,9,24,0.147849462365591,0.619047619047619,0.755,28.2,14.1,122,2,-1,0.854545454545455,0.85981308411215,1.3599586638704,"hold volume + results"
"00-0033280","Christian McCaffrey","RB","SF",2,32,16,12,20,0.226475279106858,0.351851851851852,0.535,31.9,15.95,154,2,-4,0.996875,0.831775700934579,1.58646773654296,"hold volume + results"
"00-0036875","Rhamondre Stevenson","RB","NE",2,32,16,8,24,0.144393241167435,0.397465437788018,0.605,15.1,7.55,141,0,-16,0.471875,0.831775700934579,0.750961216984286,"BUY  volume, results lagging"
"00-0040734","TreVeyon Henderson","RB","NE",1,16,16,0,16,0,0.571428571428571,0.6,13.6,13.6,76,1,NA,0.85,0.831775700934579,1.35272484119024,"hold volume + results"
"00-0035685","David Montgomery","RB","HOU",2,31,15.5,5,26,0.0605405405405405,0.479166666666667,0.505,30.8,15.4,103,3,-15,0.993548387096774,0.794392523364486,1.58117362841212,"-"
"00-0037228","Jaylen Warren","RB","PIT",2,31,15.5,10,21,0.135135135135135,0.477225672877847,0.54,16.5,8.25,150,0,-1,0.532258064516129,0.794392523364486,0.847057300935063,"-"
"00-0040719","Bhayshul Tuten","RB","JAX",2,31,15.5,3,28,0.0607142857142857,0.512768817204301,0.5,22.5,11.25,150,1,-1,0.725806451612903,0.794392523364486,1.15507813763872,"-"
"00-0040784","Quinshon Judkins","RB","CLE",2,31,15.5,7,24,0.128787878787879,0.533596837944664,0.66,13.3,6.65,98,0,3,0.429032258064516,0.794392523364486,0.682779521359778,"-"
"00-0033906","Alvin Kamara","RB","NO",1,15,15,6,9,0.1875,0.333333333333333,0.29,4.7,4.7,22,0,NA,0.313333333333333,0.766355140186916,0.498651510085813,"-"
"00-0037525","Jordan Mason","RB","MIN",1,15,15,0,15,0,0.441176470588235,0.45,11.9,11.9,59,1,NA,0.793333333333333,0.766355140186916,1.26254318511089,"-"
"00-0040242","Jacory Croskey-Merritt","RB","WAS",2,30,15,2,28,0.031947261663286,0.4375,0.43,17.4,8.7,104,1,-4,0.58,0.766355140186916,0.923035773988633,"-"
"00-0036973","Travis Etienne","RB","NO",2,28,14,11,17,0.117788461538462,0.328148148148148,0.565,17.4,8.7,109,0,-8,0.621428571428571,0.747663551401869,0.988966900702106,"-"
"00-0037840","Kyren Williams","RB","LA",2,28,14,5,23,0.0888888888888889,0.403940886699507,0.595,28.7,14.35,162,2,0,1.025,0.747663551401869,1.63122701437646,"-"
"00-0036555","Chuba Hubbard","RB","CAR",2,27,13.5,5,22,0.0753676470588235,0.5,0.68,35.6,17.8,151,3,1,1.31851851851852,0.719626168224299,2.09834441596394,"-"
"00-0036963","Amon-Ra St. Brown","WR","DET",2,27,13.5,27,0,0.350539811066127,0,0.925,54.4,27.2,209,4,-1,2.01481481481482,1,1.63162917518746,"hold volume + results"
"00-0041027","Jeremiyah Love","RB","ARI",2,27,13.5,7,20,0.111746361746362,0.426470588235294,0.415,18,9,95,1,-3,0.666666666666667,0.719626168224299,1.06096065975705,"-"
"00-0041512","Jadarian Price","RB","SEA",2,27,13.5,4,23,0.0801282051282051,0.389772727272727,0.41,11.3,5.65,118,0,3,0.418518518518519,0.719626168224299,0.666047525291925,"-"
"00-0037263","Tyler Allgeier","RB","ARI",2,26,13,4,22,0.0654885654885655,0.397058823529412,0.615,10.9,5.45,89,0,-12,0.419230769230769,0.710280373831776,0.667181030270298,"-"
"00-0035261","Tony Pollard","RB","TEN",2,24,12,3,21,0.0651260504201681,0.491379310344828,0.535,10.9,5.45,99,0,6,0.454166666666667,0.672897196261682,0.72277944945949,"-"
