"gsis_id","player","pos","yteam","proj","pct_ros","injury","game","player.nfl","pos.nfl","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"00-0040743","Tyler Shough","QB","NO",19.32,62,"","Sun 4:25 pm vs LV","Tyler Shough","QB","NO",2,13,6.5,0,13,0,0.246666666666667,1,47.58,23.79,31,1,5,3.66,0.928571428571429,1,"hold volume + results"
"00-0035228","Kyler Murray","QB","Min",18.04,62,"","Sun 4:05 pm @ TB","Kyler Murray","QB","MIN",1,2,2,0,2,0,0.0588235294117647,0.17,0.62,0.62,9,0,NA,0.31,0.238095238095238,0.0846994535519126,"-"
"00-0039163","C.J. Stroud","QB","Hou",17.96,46,"","Sun 1:00 pm @ Ind","C.J. Stroud","QB","HOU",2,5,2.5,0,5,0,0.114583333333333,1,33.48,16.74,44,0,1,6.696,0.404761904761905,1.82950819672131,"FADE points on no volume"
"00-0033119","Jacoby Brissett","QB","Ari",16.32,8,"","Sun 4:05 pm @ SF","Jacoby Brissett","QB","ARI",2,7,3.5,0,7,0,0.117647058823529,1,23.98,11.99,21,0,-5,3.42571428571429,0.547619047619048,0.935987509758002,"-"
"00-0038128","Malik Willis","QB","Mia",16.25,34,"","Sun 1:00 pm vs KC","Malik Willis","QB","MIA",2,8,4,0,8,0,0.202380952380952,1,30.18,15.09,45,1,-4,3.7725,0.571428571428571,1.03073770491803,"-"
"00-0035710","Daniel Jones","QB","Ind",15.89,21,"","Sun 1:00 pm vs Hou","Daniel Jones","QB","IND",2,4,2,0,4,0,0.071875,1,22.44,11.22,14,0,2,5.61,0.238095238095238,1.5327868852459,"FADE points on no volume"
"00-0030565","Geno Smith","QB","NYJ",15.84,6,"","Sun 1:00 pm @ Det","Geno Smith","QB","NYJ",2,11,5.5,0,11,0,0.16951566951567,1,24.88,12.44,24,0,-1,2.26181818181818,0.785714285714286,0.617983109786389,"-"
"00-0031503","Jameis Winston","QB","NYG",15.71,3,"","Sun 1:00 pm vs Ten","Jameis Winston","QB","NYG",1,2,2,0,2,0,0.0952380952380952,0.88,3.54,3.54,1,0,NA,1.77,0.238095238095238,0.483606557377049,"-"
"00-0035704","Drew Lock","QB","Sea",15.69,7,"","Sun 1:00 pm @ Was","Drew Lock","QB","SEA",2,2,1,0,2,0,0.0454545454545455,0.95,34.18,17.09,13,0,-2,17.09,0.0714285714285714,4.66939890710383,"FADE points on no volume"
"00-0023459","Aaron Rodgers","QB","Pit",15.64,9,"","Sun 1:00 pm vs Cin","Aaron Rodgers","QB","PIT",2,4,2,0,4,0,0.093167701863354,0.98,17.52,8.76,2,0,-2,4.38,0.238095238095238,1.19672131147541,"-"
"00-0033537","Deshaun Watson","QB","Cle",15.28,4,"","Sun 1:00 pm vs Car","Deshaun Watson","QB","CLE",2,13,6.5,0,13,0,0.288537549407115,1,34.72,17.36,60,0,1,2.67076923076923,0.928571428571429,0.729718369062631,"BUY  volume, results lagging"
