rank,name,team,position
1,Bijan Robinson,ATL,RB
2,Christian McCaffrey,SF,RB
3,Amon-Ra St. Brown,DET,WR
4,Jahmyr Gibbs,DET,RB
5,Ja'Marr Chase,CIN,WR
6,Troy Franklin,DEN,WR
7,Kareem Hunt,,RB
8,Elic Ayomanor,TEN,WR
9,Chimere Dike,TEN,WR
10,Darius Slayton,NYG,WR
11,Mack Hollins,NE,WR
12,Zach Ertz,,TE
13,Theo Johnson,NYG,TE
14,Dyami Brown,WAS,WR
15,Olamide Zaccheaus,ATL,WR
16,Michael Carter,TEN,RB
17,Andrei Iosivas,CIN,WR
18,Brashard Smith,KC,RB
19,Mike Gesicki,CIN,TE
20,Marvin Mims Jr.,DEN,WR
21,Jonnu Smith,GB,TE
22,Audric Estime,NO,RB
23,Mason Taylor,NYJ,TE
24,Elijah Sarratt,BAL,WR
25,Xavier Hutchinson,HOU,WR
