Date,Player,Team,Position,Action
Sep 7,AJ Henning,Mia,WR,Deactivated
Sep 7,Caleb Lohner,Den,TE,Deactivated
Sep 7,Kenneth Grant,Mia,DT,Deactivated
Sep 7,Jaylan Ford,NO,LB,Deactivated
Sep 7,Irv Charles,Sea,WR,Deactivated
Sep 7,Brandon Aiyuk,SF,WR,Deactivated
Sep 7,Darius Slayton,NYG,WR,Deactivated
Sep 6,Brayden Willis,SF,TE,Deactivated
Sep 5,Sam Okuayinonu,SF,"DL,DE",Deactivated
Sep 4,Brady Cook,Mia,QB,Activated
Sep 4,Julius Wood,Mia,S,Activated
Sep 4,Marcellas Dial Jr.,Mia,"DB,CB",Activated
Sep 4,Reese Taylor,Mia,CB,Activated
Sep 4,Malik Herring,Mia,DE,Activated
Sep 4,Tony Jefferson,LAC,S,Activated
Sep 3,Dayo Odeyingbo,Chi,DE,Activated
Sep 3,Israel Abanikanda,Dal,RB,Deactivated
Sep 2,Jabari Small,Det,RB,Deactivated
Sep 2,Scooby Williams,Min,LB,Deactivated
Sep 2,Da'Quan Felton,NYJ,WR,Deactivated
Sep 2,Kevin Knowles,TB,CB,Activated
Sep 2,Ben Sims,Mia,TE,Deactivated
Sep 2,Charles Snowden,LV,"LB,DE",Deactivated
Sep 2,Charles Snowden,LV,"LB,DE",Activated
Sep 2,Caden Fordham,TB,LB,Deactivated
