Player,Position,Team
Texans,DEF,Hou
Rams,DEF,LAR
Broncos,DEF,Den
Seahawks,DEF,Sea
Eagles,DEF,Phi
Ravens,DEF,Bal
Vikings,DEF,Min
Jaguars,DEF,Jax
Steelers,DEF,Pit
Patriots,DEF,NE
Cowboys,DEF,Dal
Chargers,DEF,LAC
Lions,DEF,Det
Chiefs,DEF,KC
Packers,DEF,GB
Bills,DEF,Buf
Bengals,DEF,Cin
49ers,DEF,SF
Giants,DEF,NYG
Colts,DEF,Ind
Buccaneers,DEF,TB
Saints,DEF,NO
Bears,DEF,Chi
Falcons,DEF,Atl
Browns,DEF,Cle
Titans,DEF,Ten
Dolphins,DEF,Mia
Panthers,DEF,Car
Cardinals,DEF,Ari
Commanders,DEF,Was
Raiders,DEF,LV
Jets,DEF,NYJ
