Date,Player,Team,Position,Change
Sep 8,Mark Gronowski,Hou,QB,Mia to Hou
Sep 8,Isaiah Oliver,Ten,S,NFC to AFC
Sep 8,Kevin Givens,SF,DT,AFC to NFC
Sep 8,Tim Keenan III,LV,DT,NFC to AFC
Sep 8,Sean Clifford,Cin,QB,NFC to AFC
Sep 8,Nathan Carter,Atl,RB,AFC to NFC
Sep 8,Dean Lowry,NYG,DT,AFC to NFC
Sep 8,Tim Keenan III,LV,DT,LAR to LV
Sep 8,Nathan Carter,Atl,RB,KC to Atl
Sep 8,Joshua Simon,Atl,TE,Was to Atl
Sep 8,Jonah Williams,NO,DE,Ari to NO
Sep 8,Kevin Givens,SF,DT,Hou to SF
Sep 8,Dean Lowry,NYG,DT,Pit to NYG
Sep 7,Zion Logue,Cle,"DL,DT",Buf to Cle
Sep 7,Sean Clifford,Cin,QB,SF to Cin
Sep 7,Isaiah Oliver,Ten,S,Ari to Ten
Sep 5,Khalid Kareem,SF,"LB,DE",NYG to SF
Sep 4,Khalid Kareem,SF,"LB,DE",Atl to NYG
Sep 4,Julius Wood,Mia,S,NFC to AFC
Sep 4,Caleb Murphy,LAC,LB,NFC to AFC
Sep 4,Ronnie Bell,LV,WR,NFC to AFC
Sep 4,Tim Keenan III,LV,DT,AFC to NFC
Sep 4,Azeez Ojulari,LV,LB,NFC to AFC
Sep 4,Ahmani Marshall,Car,RB,AFC to NFC
Sep 4,Elliott Davison,NE,S,NFC to AFC
