Player,Team,Position,Injury,Status,Updated,Depth Chart
Elijah Mitchell,KC,RB,Undisclosed,Q,Sep 12 5:16 PM,KC
Ty Chandler,NO,RB,Knee,IR,Sep 12 5:16 PM,NO
Skylar Thompson,Bal,QB,Undisclosed,IR,Sep 12 5:16 PM,Bal
Chris Oladokun,KC,QB,Undisclosed,Q,Sep 12 5:16 PM,KC
John FitzPatrick,GB,TE,Achilles,Q,Sep 12 5:16 PM,GB
Michael Woods II,Den,WR,Leg,Q,Sep 12 5:16 PM,Den
Grant Calcaterra,Phi,TE,Back,IR-R,Sep 12 5:16 PM,Phi
Joe Royer,Cle,TE,Personal,NFI-R,Sep 12 5:16 PM,Cle
Adam Randall,Bal,RB,Undisclosed,IR-R,Sep 12 5:16 PM,Bal
Isiah Pacheco,Det,RB,Back,IR,Sep 12 5:16 PM,Det
Jerome Ford,Was,RB,Hamstring,Q,Sep 12 5:16 PM,Was
Cole Turner,Mia,TE,Undisclosed,IR,Sep 12 5:16 PM,Mia
Calvin Austin III,NYG,WR,Knee,IR,Sep 12 5:16 PM,NYG
Kendrick Law,Det,WR,Knee - ACL,IR,Sep 12 5:16 PM,Det
Danny Gray,Phi,WR,Undisclosed,Q,Sep 12 5:16 PM,Phi
CJ Daniels,LAR,WR,Coach's Decision,NA,Sep 12 5:16 PM,LAR
Jaren Kanak,Ten,TE,Pectoral,IR,Sep 12 5:16 PM,Ten
Brittain Brown,Chi,RB,Undisclosed,IR,Sep 12 5:16 PM,Chi
Irv Charles,Sea,WR,Undisclosed,IR-R,Sep 12 5:16 PM,Sea
Jam Miller,NE,RB,Undisclosed,Q,Sep 12 5:16 PM,NE
Ty Simpson,LAR,QB,Coach's Decision,NA,Sep 12 5:16 PM,LAR
Carson Towt,Ind,TE,Undisclosed,IR,Sep 12 5:16 PM,Ind
Tank Dell,Hou,WR,Knee - ACL + MCL,IR-R,Sep 12 5:16 PM,Hou
Damien Alford,NO,WR,Undisclosed,Q,Sep 12 5:16 PM,NO
Jeremiyah LoveQ,Ari,RB,Ankle,Q,Sep 12 5:16 PM,Ari
Zach Charbonnet,Sea,RB,Knee - ACL,PUP-R,Sep 12 5:16 PM,Sea
Luke Musgrave,GB,TE,Neck,PUP-R,Sep 12 5:16 PM,GB
Jordyn Tyson,NO,WR,Hamstring,IR-R,Sep 12 5:16 PM,NO
De'Zhaun StriblingQ,SF,WR,Ankle,Q,Sep 12 5:16 PM,SF
Jake TongesQ,SF,TE,Knee,Q,Sep 12 5:16 PM,SF
Eli Stowers,Phi,TE,Hamstring,IR,Sep 12 5:16 PM,Phi
Raheem Blackshear,Det,RB,Undisclosed,Q,Sep 12 5:16 PM,Det
