Player,Team,Position,Status,Injury Type,Depth Chart
Brock Rechsteiner,NO,WR,SUSP,Suspension,NO
Jeshaun Jones,Min,WR,SUSP,Suspension,Min
Tyson Bagent,Chi,QB,N/A,Back,Chi
Jeremiyah Love,Ari,RB,N/A,Ankle,Ari
Rome Odunze,Chi,WR,N/A,Calf,Chi
Ty Johnson,Buf,RB,N/A,Hamstring,Buf
Malik Nabers,NYG,WR,N/A,Knee - ACL,NYG
Jake Tonges,SF,TE,N/A,Knee,SF
Devontez Walker,Bal,WR,N/A,Groin,Bal
Alvin Kamara,NO,RB,N/A,Knee - MCL,NO
Cooper Rush,Atl,QB,N/A,Back,Atl
LeQuint Allen Jr.,Jax,RB,N/A,Hip,Jax
Davis Allen,LAR,TE,N/A,Head,LAR
De'Zhaun Stribling,SF,WR,N/A,Ankle,SF
Luke Musgrave,GB,TE,PUP-R,Neck,GB
Tyrell Shavers,Buf,WR,PUP-R,Knee - ACL,Buf
Zach Charbonnet,Sea,RB,PUP-R,Knee - ACL,Sea
Mason Tipton,NO,WR,PUP-R,Leg,NO
Tip Reiman,Ari,TE,PUP-R,Ankle,Ari
Isaac Guerendo,SF,RB,PUP-R,Pectoral,SF
Tory Horton,Sea,WR,N/A,Hamstring,Sea
Tua Tagovailoa,Atl,QB,N/A,Oblique,Atl
TreVeyon Henderson,NE,RB,N/A,Ankle,NE
Joe Mixon,Hou,RB,N/A,Foot,Hou
Oscar Delp,NO,TE,N/A,Hamstring,NO
Michael Penix Jr.,Atl,QB,N/A,Knee - ACL,Atl
Brock Bowers,LV,TE,N/A,Knee - Meniscus,LV
Kene Nwangwu,NYJ,RB,N/A,Back,NYJ
Joe Royer,Cle,TE,NFI-R,Personal,Cle
Zack Kuntz,Dal,TE,NA,N/A,Dal
Sean Clifford,Cin,QB,NA,N/A,Cin
A.T. Perry,Den,WR,NA,N/A,Den
Clayton Tune,GB,QB,NA,N/A,GB
Eric Gray,NYG,RB,NA,N/A,NYG
Evan Hull,Ari,RB,NA,N/A,Ari
Trey Palmer,NO,WR,NA,N/A,NO
Deuce Vaughn,Hou,RB,NA,N/A,Hou
Tyler Scott,LAR,WR,NA,N/A,LAR
Charlie Jones,NYG,WR,NA,N/A,NYG
Jake Haener,NYG,QB,NA,N/A,NYG
Brayden Willis,SF,TE,NA,N/A,SF
Jake Moody,Bal,K,NA,N/A,Bal
Jalin Hyatt,NYG,WR,NA,N/A,NYG
Hendon Hooker,Ten,QB,NA,N/A,Ten
Cedric Tillman,NO,WR,NA,N/A,NO
Will Levis,Ten,QB,NA,N/A,Ten
CJ Daniels,LAR,WR,NA,Coach's Decision,LAR
E. Henderson Jr.,Sea,WR,NA,N/A,Sea
Lewis Bond,Hou,WR,NA,N/A,Hou
Anthony Smith,Dal,WR,NA,N/A,Dal
Lew Nichols,Pit,RB,NA,N/A,Pit
Elijah Mitchell,KC,RB,NA,Undisclosed,KC
Colton Dowell,SF,WR,NA,N/A,SF
Jason Brownlee,KC,WR,NA,N/A,KC
Ja'Lynn Polk,NO,WR,NA,Undisclosed,NO
Damien Alford,NO,WR,NA,Undisclosed,NO
Ty Simpson,LAR,QB,NA,Coach's Decision,LAR
Dante Miller,NYG,RB,NA,Groin,NYG
Charlie Smyth,NO,K,NA,N/A,NO
Lucky Jackson,Det,WR,NA,N/A,Det
Jalen Moreno-Cropper,NO,WR,NA,N/A,NO
Dylan Drummond,Atl,WR,NA,N/A,Atl
Jaleel McLaughlin,Cle,RB,NA,N/A,Cle
Travis Vokolek,Ari,TE,NA,N/A,Ari
Owen Wright,Hou,RB,NA,N/A,Hou
Jordan Mims,Phi,RB,NA,N/A,Phi
Deneric Prince,NE,RB,NA,N/A,NE
Xavier Gipson,Phi,WR,NA,N/A,Phi
Zavier Scott,Chi,RB,NA,N/A,Chi
Kenny McIntosh,Sea,RB,NA,N/A,Sea
Joel Wilson,Ten,TE,NA,N/A,Ten
Ronnie Bell,LV,WR,NA,N/A,LV
Malik Cunningham,Det,WR,NA,N/A,Det
Adrian Martinez,SF,QB,NA,N/A,SF
Mitchell Tinsley,Hou,WR,NA,N/A,Hou
B.T. Potter,TB,K,NA,N/A,TB
Behren Morton,NE,QB,NA,Coach's Decision,NE
Elijah Cooks,Car,WR,NA,N/A,Car
Bryce Ford-Wheaton,NYG,WR,NA,Achilles,NYG
Tanner Brown,NO,K,NA,N/A,NO
Carlos Washington Jr.,Mia,RB,NA,N/A,Mia
Malik Heath,Atl,WR,NA,N/A,Atl
Isaiah Winstead,Pit,WR,NA,N/A,Pit
Shedrick Jackson,LV,WR,NA,N/A,LV
Ben VanSumeren,KC,RB,NA,N/A,KC
Ben Sims,Mia,TE,NA,Undisclosed,Mia
Lucas Krull,Den,TE,NA,N/A,Den
Jam Miller,NE,RB,NA,Undisclosed,NE
Cade York,NYJ,K,NA,N/A,NYJ
Mason Shipley,NO,K,NA,N/A,NO
Roman Hemby,LV,RB,NA,N/A,LV
Danny Gray,Phi,WR,NA,Undisclosed,Phi
Luke Wysong,Min,WR,NA,N/A,Min
