player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Elijah Mitchell,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,Undisclosed,Q,Sep 16 3:36 AM,KC,game-day-calls.txt
Oscar Delp,TE,TE,NO,Q,Bal,away,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,NO,game-day-calls.txt
Kyler Murray,QB,QB,Min,Q,Chi,away,Sun 1:00 pm,Concussion,Q,Sep 16 3:36 AM,Min,game-day-calls.txt
Sam Scott,RB,RB,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Quentin Moore,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Was,game-day-calls.txt
Tank Dell,WR,WR,Hou,IR-R,Cin,home,Sun 1:00 pm,Knee - ACL + MCL,IR-R,Sep 16 3:36 AM,Hou,game-day-calls.txt
Josh Jacobs,RB,RB,GB,,NYJ,away,Sun 1:00 pm,Personal,CEL,Sep 16 3:36 AM,GB,game-day-calls.txt
Marvin Mims Jr.,WR,WR,Den,Q,Jax,home,Sun 4:05 pm,Foot,Q,Sep 16 3:36 AM,Den,game-day-calls.txt
Zach Charbonnet,RB,RB,Sea,P,Ari,away,Sun 4:25 pm,Knee - ACL,PUP-R,Sep 16 3:36 AM,Sea,game-day-calls.txt
Jalen Walthall,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
A.J. Brown,WR,WR,NE,IR,Pit,home,Sun 1:00 pm,Ankle,IR,Sep 16 3:36 AM,NE,game-day-calls.txt
Luke Musgrave,TE,TE,GB,P,NYJ,away,Sun 1:00 pm,Neck,PUP-R,Sep 16 3:36 AM,GB,game-day-calls.txt
Parris Campbell,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,Undisclosed,RET,Sep 16 3:36 AM,Dal,game-day-calls.txt
Chip Trayanum,RB,RB,NYJ,IR,GB,home,Sun 1:00 pm,Neck,IR,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Anthony Richardson Sr.,QB,QB,Ind,Q,KC,away,Sun 8:20 pm,Groin,Q,Sep 16 3:36 AM,Ind,game-day-calls.txt
Zay Flowers,WR,WR,Bal,Q,NO,home,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,Bal,game-day-calls.txt
Desmond Reid,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,Undisclosed,Q,Sep 16 3:36 AM,Buf,game-day-calls.txt
Ja'Kobi Lane,WR,WR,Bal,IR,NO,home,Sun 1:00 pm,Wrist,IR,Sep 16 3:36 AM,Bal,game-day-calls.txt
Chris Brazzell II,WR,WR,Car,IR,Atl,away,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,Car,game-day-calls.txt
Raheem Blackshear,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,Undisclosed,Q,Sep 16 3:36 AM,Det,game-day-calls.txt
Will Grier,QB,QB,Dal,NA,Was,home,Sun 4:25 pm,Personal,RET,Sep 16 3:36 AM,Dal,game-day-calls.txt
Malik Davis,RB,RB,Dal,IR,Was,home,Sun 4:25 pm,Hip,IR,Sep 16 3:36 AM,Dal,game-day-calls.txt
Dennis Houston,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,Groin,Q,Sep 16 3:36 AM,TB,game-day-calls.txt
Jalen Virgil,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Ari,game-day-calls.txt
Jameson Geers,TE,TE,Ari,IR,Sea,home,Sun 4:25 pm,Undisclosed,IR,Sep 16 3:36 AM,Ari,game-day-calls.txt
Eli Stowers,TE,TE,Phi,IR,Ten,away,Sun 1:00 pm,Hamstring,IR,Sep 16 3:36 AM,Phi,game-day-calls.txt
Irv Charles,WR,WR,Sea,IR-R,Ari,away,Sun 4:25 pm,Undisclosed,IR-R,Sep 16 3:36 AM,Sea,game-day-calls.txt
Kene Nwangwu,RB,RB,NYJ,Q,GB,home,Sun 1:00 pm,Back,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Jeremiah Webb,WR,WR,NE,IR,Pit,home,Sun 1:00 pm,Arm,IR,Sep 16 3:36 AM,NE,game-day-calls.txt
Squirrel White,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,Personal,RET,Sep 16 3:36 AM,Chi,game-day-calls.txt
Ben Sims,TE,TE,Mia,NA,SF,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Mia,game-day-calls.txt
Ja'Corey Brooks,WR,WR,Was,NA,Dal,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Was,game-day-calls.txt
Shane Zylstra,TE,TE,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NE,game-day-calls.txt
Lincoln Pare,RB,RB,Ind,NA,KC,away,Sun 8:20 pm,Undisclosed,Q,Sep 16 3:36 AM,Ind,game-day-calls.txt
Christian Kirk,WR,WR,SF,IR-R,Mia,home,Sun 4:25 pm,Calf,IR-R,Sep 16 3:36 AM,SF,game-day-calls.txt
Luke Wysong,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Min,game-day-calls.txt
Dalevon Campbell,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,Leg,Q,Sep 16 3:36 AM,LAC,game-day-calls.txt
Scott Matlock,RB,RB,LAC,IR-R,LV,home,Sun 4:05 pm,Undisclosed,IR-R,Sep 16 3:36 AM,LAC,game-day-calls.txt
Carson Towt,TE,TE,Ind,IR,KC,away,Sun 8:20 pm,Undisclosed,IR,Sep 16 3:36 AM,Ind,game-day-calls.txt
De'Zhaun Stribling,WR,WR,SF,O,Mia,home,Sun 4:25 pm,Ankle,O,Sep 16 3:36 AM,SF,game-day-calls.txt
Damien Alford,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NO,game-day-calls.txt
Will Mallory,TE,TE,Ind,IR-R,KC,away,Sun 8:20 pm,Thumb,IR-R,Sep 16 3:36 AM,Ind,game-day-calls.txt
Justin Shorter,WR,"WR,TE",LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,IR,Sep 16 3:36 AM,LV,game-day-calls.txt
