player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Brock Rechsteiner,WR,WR,NO,SUSP,Bal,away,Sun 1:00 pm,Suspension,NO,injury-report.txt
Jeshaun Jones,WR,WR,Min,SUSP,Chi,away,Sun 1:00 pm,Suspension,Min,injury-report.txt
Omar Cooper Jr.,WR,WR,NYJ,Q,GB,home,Sun 1:00 pm,Ankle,NYJ,injury-report.txt
D'Andre Swift,RB,RB,Chi,Q,Min,home,Sun 1:00 pm,Ankle,Chi,injury-report.txt
Kene Nwangwu,RB,RB,NYJ,Q,GB,home,Sun 1:00 pm,Back,NYJ,injury-report.txt
Tory Horton,WR,WR,Sea,Q,Ari,away,Sun 4:25 pm,Hamstring,Sea,injury-report.txt
Nico Collins,WR,WR,Hou,Q,Cin,home,Sun 1:00 pm,Hamstring,Hou,injury-report.txt
Jaylin Lane,WR,WR,Was,Q,Dal,away,Sun 4:25 pm,Groin,Was,injury-report.txt
RJ Harvey,RB,RB,Den,Q,Jax,home,Sun 4:05 pm,Hamstring,Den,injury-report.txt
George Kittle,TE,TE,SF,Q,Mia,home,Sun 4:25 pm,Achilles,SF,injury-report.txt
Anthony Richardson Sr.,QB,QB,Ind,Q,KC,away,Sun 8:20 pm,Groin,Ind,injury-report.txt
Juwan Johnson,TE,TE,NO,Q,Bal,away,Sun 1:00 pm,Illness,NO,injury-report.txt
Marvin Mims Jr.,WR,WR,Den,Q,Jax,home,Sun 4:05 pm,Foot,Den,injury-report.txt
Jalen Coker,WR,WR,Car,Q,Atl,away,Sun 1:00 pm,Ankle,Car,injury-report.txt
Michael Pittman Jr.,WR,WR,Pit,Q,NE,away,Sun 1:00 pm,Foot,Pit,injury-report.txt
Chig Okonkwo,TE,TE,Was,Q,Dal,away,Sun 4:25 pm,Hamstring,Was,injury-report.txt
Kyler Murray,QB,QB,Min,Q,Chi,away,Sun 1:00 pm,Concussion,Min,injury-report.txt
Tua Tagovailoa,QB,QB,Atl,Q,Car,home,Sun 1:00 pm,Oblique,Atl,injury-report.txt
Joe Burrow,QB,QB,Cin,Q,Hou,away,Sun 1:00 pm,Back,Cin,injury-report.txt
Tyrone Tracy Jr.,RB,RB,NYG,Q,LAR,away,Mon 8:15 pm,Illness,NYG,injury-report.txt
Ashton Dulin,WR,WR,Ind,Q,KC,away,Sun 8:20 pm,Ankle,Ind,injury-report.txt
Jakobi Meyers,WR,WR,Jax,Q,Den,away,Sun 4:05 pm,Thumb,Jax,injury-report.txt
Oscar Delp,TE,TE,NO,Q,Bal,away,Sun 1:00 pm,Hamstring,NO,injury-report.txt
Brock Bowers,TE,TE,LV,Q,LAC,away,Sun 4:05 pm,Knee - Meniscus,LV,injury-report.txt
Brian Thomas Jr.,WR,WR,Jax,Q,Den,away,Sun 4:05 pm,Shoulder,Jax,injury-report.txt
Michael Penix Jr.,QB,QB,Atl,Q,Car,home,Sun 1:00 pm,Knee - ACL,Atl,injury-report.txt
Ladd McConkey,WR,WR,LAC,Q,LV,home,Sun 4:05 pm,Ribs,LAC,injury-report.txt
Ty Johnson,RB,RB,Buf,Q,Det,home,Thu 8:15 pm,Hamstring,Buf,injury-report.txt
LeQuint Allen Jr.,RB,RB,Jax,Q,Den,away,Sun 4:05 pm,Hip,Jax,injury-report.txt
Zay Flowers,WR,WR,Bal,Q,NO,home,Sun 1:00 pm,Hamstring,Bal,injury-report.txt
Kyle Monangai,RB,RB,Chi,Q,Min,home,Sun 1:00 pm,Hamstring,Chi,injury-report.txt
Isaac Guerendo,RB,RB,SF,P,Mia,home,Sun 4:25 pm,Pectoral,SF,injury-report.txt
Mason Tipton,WR,WR,NO,P,Bal,away,Sun 1:00 pm,Leg,NO,injury-report.txt
Tip Reiman,TE,TE,Ari,P,Sea,home,Sun 4:25 pm,Ankle,Ari,injury-report.txt
Tyrell Shavers,WR,WR,Buf,P,Det,home,Thu 8:15 pm,Knee - ACL,Buf,injury-report.txt
Zach Charbonnet,RB,RB,Sea,P,Ari,away,Sun 4:25 pm,Knee - ACL,Sea,injury-report.txt
Luke Musgrave,TE,TE,GB,P,NYJ,away,Sun 1:00 pm,Neck,GB,injury-report.txt
Joe Mixon,RB,RB,Hou,O,Cin,home,Sun 1:00 pm,Foot,Hou,injury-report.txt
De'Zhaun Stribling,WR,WR,SF,O,Mia,home,Sun 4:25 pm,Ankle,SF,injury-report.txt
Sam Darnold,QB,QB,Sea,O,Ari,away,Sun 4:25 pm,Lower Body,Sea,injury-report.txt
Joe Royer,TE,TE,Cle,,TB,away,Sun 1:00 pm,Personal,Cle,injury-report.txt
Emmanuel Henderson Jr.,WR,WR,Sea,,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Zack Kuntz,TE,TE,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Mitchell Tinsley,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Khalil Dinkins,TE,TE,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Danny Gray,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,Undisclosed,Phi,injury-report.txt
Adrian Martinez,QB,QB,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Wesley Grimes,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Malik Cunningham,WR,WR,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Ronnie Bell,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Kenny McIntosh,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Colton Dowell,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Lew Nichols,RB,RB,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
A.T. Perry,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Tyler Scott,WR,WR,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Jalin Hyatt,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Deuce Vaughn,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Trey Palmer,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Jake Moody,K,K,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Eric Gray,RB,RB,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Dameon Pierce,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Clayton Tune,QB,QB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Sean Clifford,QB,QB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
