date,player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,change,source_file
Sep 16,Kaytron Allen,RB,RB,Was,,Dal,away,Sun 4:25 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Malik Muhammad II,CB,CB,Chi,Q,Min,home,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Oscar Delp,TE,TE,NO,Q,Bal,away,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,D'Angelo Ponds,CB,CB,NYJ,Q,GB,home,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,R Mason Thomas,DE,DE,KC,,Ind,home,Sun 8:20 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Omar Cooper Jr.,WR,WR,NYJ,Q,GB,home,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Mansoor Delane,CB,CB,KC,,Ind,home,Sun 8:20 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Kyle Monangai,RB,RB,Chi,Q,Min,home,Sun 1:00 pm,Jason's Jazzy Team,On Injured Reserve,ir-reserved
Sep 16,LeQuint Allen Jr.,RB,RB,Jax,Q,Den,away,Sun 4:05 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Jaylin Lane,WR,WR,Was,Q,Dal,away,Sun 4:25 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Ashton Gillotte,DE,DE,KC,,Ind,home,Sun 8:20 pm,FA,On Injured Reserve,ir-reserved
Sep 16,RJ Harvey,RB,RB,Den,Q,Jax,home,Sun 4:05 pm,Max’s TD Bombers,On Injured Reserve,ir-reserved
Sep 16,TreVeyon Henderson,RB,RB,NE,,Pit,home,Sun 1:00 pm,Steel City,On Injured Reserve,ir-reserved
Sep 16,Tyler Owens,S,S,Was,,Dal,away,Sun 4:25 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Isaiah Stalbird,LB,LB,NO,Q,Bal,away,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,James Williams Sr.,LB,LB,Ten,Q,Phi,home,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Jarvis Brownlee Jr.,DB,"DB,CB",NYJ,,GB,home,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Troy Franklin,WR,WR,Den,,Jax,home,Sun 4:05 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Cedric Gray,LB,LB,Ten,Q,Phi,home,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Jonah Elliss,LB,"LB,DE",Den,,Jax,home,Sun 4:05 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Brian Thomas Jr.,WR,WR,Jax,Q,Den,away,Sun 4:05 pm,Owl Out Blitz,On Injured Reserve,ir-reserved
Sep 16,Chamarri Conner,DB,"DB,S",KC,Q,Ind,home,Sun 8:20 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Darnell Washington,TE,TE,Pit,,NE,away,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Joey Porter Jr.,CB,CB,Pit,Q,NE,away,Sun 1:00 pm,FA,On Injured Reserve,ir-reserved
Sep 16,Marvin Mims Jr.,WR,WR,Den,Q,Jax,home,Sun 4:05 pm,FA,On Injured Reserve,ir-reserved
