player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Caleb Williams,QB,QB,Chi,,Min,home,Sun 1:00 pm,Owl Out Blitz,1,10,37.26,72,1,99,269,2,0,10,65,2,0,0,0,0,0,0,0,qb.txt
Josh Allen,QB,QB,Buf,,Det,home,Thu 8:15 pm,Bone Crushers,1,7,35.66,35,2,100,334,2,0,6,23,2,0,0,0,0,0,0,0,qb.txt
Bryce Young,QB,QB,Car,,Atl,away,Sun 1:00 pm,FA,1,5,32.44,182,5,19,361,3,1,2,10,1,0,0,0,0,0,0,0,qb.txt
Jaxson Dart,QB,QB,NYG,,LAR,away,Mon 8:15 pm,Owl Out Blitz,1,8,26.60,107,14,93,230,3,0,11,54,0,0,0,0,0,0,0,0,qb.txt
Trevor Lawrence,QB,QB,Jax,,Den,away,Sun 4:05 pm,Sunday Kevin,1,7,26.10,80,15,95,245,4,0,2,3,0,0,0,0,0,0,0,0,qb.txt
Tyler Shough,QB,QB,NO,,Bal,away,Sun 1:00 pm,FA,1,8,25.20,143,16,43,410,3,2,4,8,0,0,0,0,0,0,0,1,qb.txt
Lamar Jackson,QB,QB,Bal,,NO,home,Sun 1:00 pm,Maybe Mitchell,1,13,24.96,53,17,100,324,1,0,7,40,1,0,0,0,0,0,0,1,qb.txt
Jalen Hurts,QB,QB,Phi,,Ten,away,Sun 1:00 pm,Max’s TD Bombers,1,10,24.72,63,18,100,203,3,0,7,46,0,0,0,0,0,0,0,0,qb.txt
Patrick Mahomes,QB,QB,KC,,Ind,home,Sun 8:20 pm,JGrahnasaurs,1,5,22.66,122,24,87,184,2,1,7,23,1,0,0,0,0,0,0,0,qb.txt
Brock Purdy,QB,QB,SF,,Mia,home,Sun 4:25 pm,Bone Crushers,1,8,22.10,101,27,91,205,3,1,5,29,0,0,0,0,0,0,0,0,qb.txt
Jordan Love,QB,QB,GB,,NYJ,away,Sun 1:00 pm,FA,1,11,20.48,125,30,69,387,2,1,1,0,0,0,0,0,0,0,0,1,qb.txt
Carson Wentz,QB,QB,Min,,Chi,away,Sun 1:00 pm,FA,1,6,19.22,364,33,2,133,3,0,5,-1,0,0,0,0,0,0,1,0,qb.txt
Malik Willis,QB,QB,Mia,,SF,away,Sun 4:25 pm,FA,1,6,17.70,133,40,38,220,0,1,6,39,1,0,0,0,0,0,0,0,qb.txt
Jayden Daniels,QB,QB,Was,,Dal,away,Sun 4:25 pm,Steel City,1,7,17.66,67,41,99,164,2,0,5,31,0,0,0,0,0,0,0,0,qb.txt
Jacoby Brissett,QB,QB,Ari,,Sea,home,Sun 4:25 pm,FA,1,14,16.48,209,45,7,277,1,0,6,14,0,0,0,0,0,0,0,0,qb.txt
C.J. Stroud,QB,QB,Hou,,Cin,home,Sun 1:00 pm,FA,1,8,16.46,175,46,32,274,2,0,2,15,0,0,0,0,0,0,0,2,qb.txt
Jared Goff,QB,QB,Det,,Buf,away,Thu 8:15 pm,Jason's Jazzy Team,1,6,16.44,117,47,85,206,2,0,2,2,0,0,0,0,0,0,0,0,qb.txt
Kirk Cousins,QB,QB,LV,,LAC,away,Sun 4:05 pm,FA,1,13,15.80,308,52,4,160,3,2,5,-6,0,0,0,0,0,0,0,0,qb.txt
Dak Prescott,QB,QB,Dal,,Was,home,Sun 4:25 pm,Max’s TD Bombers,1,14,15.40,83,54,97,175,2,1,2,14,0,0,0,0,0,0,0,0,qb.txt
Joe Burrow,QB,QB,Cin,Q,Hou,away,Sun 1:00 pm,Locked In Michelle,1,6,15.16,64,55,100,254,1,1,5,20,0,0,0,0,0,0,0,0,qb.txt
Deshaun Watson,QB,QB,Cle,,TB,away,Sun 1:00 pm,FA,1,11,15.00,306,58,2,205,1,1,6,38,0,0,0,0,0,0,0,0,qb.txt
Justin Herbert,QB,QB,LAC,,LV,home,Sun 4:05 pm,Sunday Kevin,1,7,14.26,75,61,97,209,1,1,5,29,0,0,0,0,0,0,0,0,qb.txt
Drake Maye,QB,QB,NE,,Pit,home,Sun 1:00 pm,Jason's Jazzy Team,1,11,12.82,61,76,99,178,1,3,7,47,0,0,0,0,0,0,0,0,qb.txt
Drew Lock,QB,QB,Sea,,Ari,away,Sun 4:25 pm,FA,1,11,12.78,2769,77,1,187,1,0,2,13,0,0,0,0,0,0,0,0,qb.txt
Aaron Rodgers,QB,QB,Pit,,NE,away,Sun 1:00 pm,FA,1,9,12.54,249,78,10,221,1,0,3,-3,0,0,0,0,0,0,0,0,qb.txt
Cam Ward,QB,QB,Ten,,Phi,home,Sun 1:00 pm,FA,1,9,11.70,185,92,11,140,1,0,4,21,0,0,0,0,0,0,0,0,qb.txt
Baker Mayfield,QB,QB,TB,,Cle,home,Sun 1:00 pm,Monday Night Madison,1,10,11.64,137,93,56,216,0,0,5,30,1,0,0,0,0,0,0,3,qb.txt
Daniel Jones,QB,QB,Ind,,KC,away,Sun 8:20 pm,FA,1,13,10.04,167,104,23,166,1,1,1,4,0,0,0,0,0,0,0,0,qb.txt
Geno Smith,QB,QB,NYJ,,GB,home,Sun 1:00 pm,FA,1,13,9.30,245,117,5,215,0,0,6,7,0,0,0,0,0,0,0,0,qb.txt
Cooper Rush,QB,QB,Atl,,Car,home,Sun 1:00 pm,FA,1,11,7.72,2880,144,1,143,1,2,0,0,0,0,0,0,0,0,0,0,qb.txt
Bo Nix,QB,QB,Den,,Jax,home,Sun 4:05 pm,Steel City,1,10,6.44,105,167,90,131,1,1,3,2,0,0,0,0,0,0,0,1,qb.txt
Matthew Stafford,QB,QB,LAR,,NYG,home,Mon 8:15 pm,JGrahnasaurs,1,11,5.10,115,195,90,155,0,1,2,-1,0,0,0,0,0,0,0,0,qb.txt
Kenny Pickett,QB,QB,Car,,Atl,away,Sun 1:00 pm,FA,1,5,2.40,2884,268,0,0,0,0,1,24,0,0,0,0,0,0,0,0,qb.txt
