player,pos,nfl_team,slot,proj,opponent,home_away,kickoff,status,injury,injury_updated,wk1_pts,wk1_tgt,wk1_rec,wk1_rec_yds,wk1_rush_att,pct_rostered,in_players,in_calls,in_injury
Patrick Mahomes,QB,KC,QB,18.5,Ind,home,Sun 8:20 pm,,,Sep 10 2:06 AM,22.66,0,0,0,7,87,True,True,False
Matthew Stafford,QB,LAR,BN,18.22,NYG,home,Mon 8:15 pm,,,,5.10,0,0,0,2,90,True,False,False
Javonte Williams,RB,Dal,RB,15.75,Was,home,Sun 4:25 pm,,,,21.70,5,5,31,12,100,True,False,False
Derrick Henry,RB,Bal,RB,15.58,NO,home,Sun 1:00 pm,,,,34.80,1,1,19,24,100,True,False,False
Travis Etienne Jr.,RB,NO,W/R/T,9.41,Bal,away,Sun 1:00 pm,,,,11.30,9,7,32,9,99,True,False,False
Kenny Gainwell,RB,TB,BN,8.01,Cle,home,Sun 1:00 pm,,,,2.30,1,1,3,5,78,True,False,False
Woody Marks,RB,Hou,BN,7.44,Cin,home,Sun 1:00 pm,,,,4.50,1,1,-2,9,49,True,False,False
Davante Adams,WR,LAR,WR,10.02,NYG,home,Mon 8:15 pm,,,,4.10,6,3,26,0,97,True,False,False
Courtland Sutton,WR,Den,WR,8.98,Jax,home,Sun 4:05 pm,,,,2.10,5,2,11,0,85,True,False,False
Rome Odunze,WR,Chi,BN,8.64,Min,home,Sun 1:00 pm,,,Sep 12 8:36 PM,6.20,3,2,52,0,96,True,True,False
Wan'Dale Robinson,WR,Ten,BN,6.96,Phi,home,Sun 1:00 pm,,,Sep 9 1:31 AM,6.30,6,5,38,0,63,True,True,False
Kalif Raymond,WR,Chi,BN,3.47,Min,home,Sun 1:00 pm,,,,12.40,9,8,84,0,4,True,False,False
Jake Ferguson,TE,Dal,TE,8.11,Was,home,Sun 4:25 pm,,,,1.60,2,2,6,0,78,True,False,False
Chase McLaughlin,K,TB,K,7.69,,,,,,,,,,,,,False,False,False
Patriots,DEF,NE,DEF,6.86,,,,,,,,,,,,,False,False,False
