Player,Team,Positions,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD,Misc Blk Kick,Ret TD
Seahawks,Sea,DEF,Sun 1:00 pm @ Was,Locked In Michelle,-,11,7.91,150,143,99%,20.1,2.4,0.0,0.9,0.5,0.2,0.1,0.0
Chiefs,KC,DEF,Sun 1:00 pm @ Mia,FA,-,5,7.77,187,148,52%,20.5,3.0,0.0,0.6,0.5,0.2,0.1,0.0
Lions,Det,DEF,Sun 1:00 pm vs NYJ,FA,-,6,7.47,272,163,36%,23.3,3.3,0.0,0.9,0.5,0.2,0.1,0.0
Panthers,Car,DEF,Sun 1:00 pm @ Cle,FA,-,5,7.13,329,178,18%,20.2,2.9,0.0,0.6,0.6,0.1,0.1,0.1
49ers,SF,DEF,Sun 4:05 pm vs Ari,Dave’s Bone Crushers,-,8,7.05,205,180,68%,21.7,2.5,0.0,0.7,0.5,0.2,0.1,0.0
Eagles,Phi,DEF,Mon 8:15 pm @ Chi,Monday Night Madison,-,10,6.96,171,183,94%,20.1,2.3,0.0,0.8,0.4,0.2,0.1,0.0
Bills,Buf,DEF,Sun 1:00 pm vs LAC,FA,-,7,6.93,211,184,17%,23.9,3.2,0.0,0.8,0.5,0.2,0.1,0.0
Giants,NYG,DEF,Sun 1:00 pm vs Ten,FA,-,8,6.84,308,188,7%,19.2,2.8,0.0,0.6,0.5,0.1,0.1,0.0
Packers,GB,DEF,Thu 8:15 pm vs Atl,FA,-,11,6.81,"2,055",191,28%,20.4,2.4,0.0,0.7,0.5,0.2,0.1,0.0
Saints,NO,DEF,Sun 4:25 pm vs LV,FA,-,8,6.77,273,193,2%,20.7,3.0,0.0,0.7,0.5,0.1,0.1,0.1
Vikings,Min,DEF,Sun 4:05 pm @ TB,Owl Out Blitz,-,6,6.70,182,196,71%,20.5,2.8,0.0,0.7,0.5,0.1,0.1,0.0
Texans,Hou,DEF,Sun 1:00 pm @ Ind,Sunday Kevin,-,8,6.59,160,198,93%,22.0,2.2,0.0,0.7,0.4,0.2,0.1,0.0
Jaguars,Jax,DEF,Sun 1:00 pm vs NE,FA,-,7,6.29,185,203,57%,21.4,2.6,0.0,0.7,0.4,0.2,0.1,0.0
Bengals,Cin,DEF,Sun 1:00 pm @ Pit,FA,-,6,6.20,234,205,21%,20.4,2.4,0.0,0.7,0.4,0.1,0.1,0.0
Steelers,Pit,DEF,Sun 1:00 pm vs Cin,Max’s TD Bombers,-,9,6.04,189,212,71%,23.0,2.8,0.0,0.7,0.4,0.1,0.1,0.0
Raiders,LV,DEF,Sun 4:25 pm @ NO,FA,-,13,5.85,341,218,6%,21.0,2.6,0.0,0.6,0.4,0.1,0.1,0.0
Buccaneers,TB,DEF,Sun 4:05 pm vs Min,Steel City,-,10,5.85,247,219,44%,21.7,2.5,0.0,0.6,0.4,0.1,0.1,0.0
Titans,Ten,DEF,Sun 1:00 pm @ NYG,FA,-,9,5.80,"2,078",220,5%,21.7,2.3,0.0,0.8,0.4,0.1,0.1,0.0
Rams,LAR,DEF,Sun 8:20 pm @ Den,Maybe Mitchell,-,11,5.76,172,221,91%,22.9,1.9,0.0,0.7,0.4,0.2,0.1,0.0
Browns,Cle,DEF,Sun 1:00 pm vs Car,FA,-,11,5.59,220,229,2%,21.8,2.3,0.0,0.7,0.4,0.1,0.1,0.0
Colts,Ind,DEF,Sun 1:00 pm vs Hou,FA,-,13,5.57,"2,069",230,1%,22.4,2.3,0.0,0.7,0.4,0.1,0.1,0.0
Patriots,NE,DEF,Sun 1:00 pm @ Jax,JGrahnasaurs,-,11,5.55,184,231,70%,24.2,2.2,0.0,0.7,0.4,0.1,0.1,0.0
Broncos,Den,DEF,Sun 8:20 pm vs LAR,Jason's Jazzy Team,-,10,5.32,167,234,88%,23.2,2.1,0.0,0.6,0.4,0.2,0.1,0.0
Falcons,Atl,DEF,Thu 8:15 pm @ GB,FA,-,11,5.30,334,236,2%,22.0,2.2,0.0,0.5,0.4,0.1,0.1,0.0
Commanders,Was,DEF,Sun 1:00 pm vs Sea,FA,-,7,5.22,"2,119",239,1%,22.1,2.1,0.0,0.7,0.4,0.1,0.1,0.0
Bears,Chi,DEF,Mon 8:15 pm vs Phi,Max’s TD Bombers,-,10,5.10,327,242,10%,23.5,2.2,0.0,0.5,0.4,0.1,0.1,0.0
Ravens,Bal,DEF,Sun 4:25 pm @ Dal,W (Sep 26),-,13,5.01,190,244,70%,26.0,1.9,0.0,0.7,0.4,0.2,0.1,0.0
Cowboys,Dal,DEF,Sun 4:25 pm vs Bal,FA,-,14,4.83,"2,111",252,20%,27.5,2.3,0.0,0.6,0.4,0.1,0.1,0.0
Chargers,LAC,DEF,Sun 1:00 pm @ Buf,FA,-,7,4.43,193,261,38%,26.4,2.2,0.0,0.6,0.4,0.1,0.1,0.0
Jets,NYJ,DEF,Sun 1:00 pm @ Det,FA,-,13,4.27,"2,101",263,1%,24.4,1.9,0.0,0.4,0.3,0.1,0.1,0.0
Dolphins,Mia,DEF,Sun 1:00 pm vs KC,FA,-,6,3.87,"2,088",273,0%,25.7,1.9,0.0,0.5,0.3,0.1,0.1,0.0
Cardinals,Ari,DEF,Sun 4:05 pm @ SF,FA,-,14,3.75,"2,057",276,0%,26.0,1.5,0.0,0.7,0.4,0.1,0.1,0.0
