Player,Player ID,Team,Positions,Game Status,Injury,Updated,New Player Note,Game
Jaylen Wright,41010,Mia,RB,Q,Foot,Sep 23 4:11 AM,Y,Sun 1:00 pm vs KC
Reggie Gilliam,33357,NE,RB,Q,Knee,Sep 23 4:11 AM,N,Sun 1:00 pm @ Jax
Puka Nacua,40168,LAR,WR,Q,Groin,Sep 23 4:11 AM,Y,Sun 8:20 pm @ Den
LeQuint Allen Jr.,42007,Jax,RB,Q,Hip,Sep 23 4:11 AM,Y,Sun 1:00 pm vs NE
A.J. Brown,31883,NE,WR,IR,Ankle,Sep 23 4:11 AM,N,Sun 1:00 pm @ Jax
Moliki Matavao,42006,NO,TE,IR,Knee,Sep 23 4:11 AM,N,Sun 4:25 pm vs LV
Will Mallory,40180,Ind,TE,IR-R,Thumb,Sep 23 4:11 AM,N,Sun 1:00 pm vs Hou
Andrei Iosivas,40211,Cin,WR,O,Thumb,Sep 23 4:11 AM,Y,Sun 1:00 pm @ Pit
Parris Campbell,31891,Dal,WR,RET,Undisclosed,Sep 23 4:11 AM,N,Sun 4:25 pm vs Bal
Graham Mertz,41975,Hou,QB,IR,Knee - ACL,Sep 23 4:11 AM,N,Sun 1:00 pm @ Ind
Devin Neal,41972,NO,RB,Q,Hamstring,Sep 23 4:11 AM,N,Sun 4:25 pm vs LV
Scott Matlock,40225,LAC,RB,IR-R,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Buf
Robbie Ouzts,41961,Sea,"RB,TE",IR,Neck,Sep 23 4:11 AM,N,Sun 1:00 pm @ Was
KeAndre Lambert-Smith,41944,LAC,WR,IR,Hamstring,Sep 23 4:11 AM,N,Sun 1:00 pm @ Buf
Josh Jacobs,31856,GB,RB,CEL,Personal,Sep 23 4:11 AM,N,Thu 8:15 pm vs Atl
Will Grier,31932,Dal,QB,RET,Personal,Sep 23 4:11 AM,N,Sun 4:25 pm vs Bal
Nikola Kalinic,33950,Chi,TE,IR,Knee,Sep 23 4:11 AM,N,Mon 8:15 pm vs Phi
Ben Sims,40335,Mia,TE,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm vs KC
Jake Bobo,40452,Sea,WR,IR,Knee,Sep 23 4:11 AM,N,Sun 1:00 pm @ Was
Tyson Bagent,40504,Chi,QB,Q,Concussion,Sep 23 4:11 AM,Y,Mon 8:15 pm vs Phi
Tony Pollard,31960,Ten,RB,Q,Ankle,Sep 23 4:11 AM,Y,Sun 1:00 pm @ NYG
Trevor Etienne,41913,Car,RB,IR-R,Ankle,Sep 23 4:11 AM,N,Sun 1:00 pm @ Cle
Dylan Sampson,41907,Cle,RB,IR,Knee,Sep 23 4:11 AM,N,Sun 1:00 pm vs Car
Arian Smith,41896,NYJ,WR,IR,Knee - ACL,Sep 23 4:11 AM,Y,Sun 1:00 pm @ Det
Dont'e Thornton Jr.,41892,LV,WR,IR,Undisclosed,Sep 23 4:11 AM,N,Sun 4:25 pm @ NO
Brady Russell,40519,Sea,"RB,TE",Q,Chest,Sep 23 4:11 AM,N,Sun 1:00 pm @ Was
Kyle Monangai,42025,Chi,RB,Q,Undisclosed,Sep 23 4:11 AM,Y,Mon 8:15 pm vs Phi
Caleb Lohner,42027,Den,TE,IR-R,Lower Body,Sep 23 4:11 AM,N,Sun 8:20 pm vs LAR
Savion Williams,41851,GB,WR,IR-R,Ankle,Sep 23 4:11 AM,N,Thu 8:15 pm vs Atl
Marvin Mims Jr.,40090,Den,WR,Q,Foot,Sep 23 4:11 AM,Y,Sun 8:20 pm vs LAR
Dallas Goedert,31019,Phi,TE,D,Knee - MCL,Sep 23 4:11 AM,N,Mon 8:15 pm @ Chi
Jacoby Jones,42436,Was,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm vs Sea
Ben Yurosek,42434,Min,TE,IR,Undisclosed,Sep 23 4:11 AM,N,Sun 4:05 pm @ TB
Carter Runyon,42433,LV,TE,IR-R,Undisclosed,Sep 23 4:11 AM,N,Sun 4:25 pm @ NO
Ben Sauls,42379,NYG,K,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm vs Ten
Tyrone Broden,42351,Sea,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Was
Mario Williams,42326,LAR,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 8:20 pm @ Den
Luke Musgrave,40074,GB,TE,PUP-R,Neck,Sep 23 4:11 AM,N,Thu 8:15 pm vs Atl
Gee Scott,42290,NE,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Jax
Zach Charbonnet,40075,Sea,RB,PUP-R,Knee - ACL,Sep 23 4:11 AM,Y,Sun 1:00 pm @ Was
Bryson Nesbit,42266,Min,TE,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 4:05 pm @ TB
Ray-Ray McCloud III,31157,Chi,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Mon 8:15 pm vs Phi
Justin Shorter,40167,LV,"WR,TE",IR,Undisclosed,Sep 23 4:11 AM,N,Sun 4:25 pm @ NO
Cedrick Wilson Jr.,31178,Det,WR,Q,Knee,Sep 23 4:11 AM,N,Sun 1:00 pm vs NYJ
Kye Robichaux,42245,Det,RB,Q,Foot,Sep 23 4:11 AM,N,Sun 1:00 pm vs NYJ
Tank Dell,40097,Hou,WR,IR-R,Knee - ACL + MCL,Sep 23 4:11 AM,N,Sun 1:00 pm @ Ind
Ja'Quinden Jackson,42214,Phi,RB,Q,Undisclosed,Sep 23 4:11 AM,N,Mon 8:15 pm @ Chi
Da'Quan Felton,42201,NYJ,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Det
Tyjae Spears,40119,Ten,RB,Q,Ankle,Sep 23 4:11 AM,Y,Sun 1:00 pm @ NYG
Travis Etienne Jr.,33413,NO,RB,Q,Hamstring,Sep 23 4:11 AM,Y,Sun 4:25 pm vs LV
Beaux Collins,42194,Atl,WR,IR-R,Undisclosed,Sep 23 4:11 AM,N,Thu 8:15 pm @ GB
Coleman Owen,42130,Ind,WR,Q,Concussion,Sep 23 4:11 AM,N,Sun 1:00 pm vs Hou
Luke Grimm,42104,LAC,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Buf
Aidan O'Connell,40138,LV,QB,Q,Personal,Sep 23 4:11 AM,N,Sun 4:25 pm @ NO
Luke Lachey,42041,Hou,TE,Q,Foot,Sep 23 4:11 AM,N,Sun 1:00 pm @ Ind
Dillon Gabriel,41861,Cle,QB,IR-R,Back,Sep 23 4:11 AM,N,Sun 1:00 pm vs Car
RJ Harvey,41845,Den,RB,Q,Hamstring,Sep 23 4:11 AM,Y,Sun 8:20 pm vs LAR
Jayden Daniels,40896,Was,QB,O,Elbow,Sep 23 4:11 AM,Y,Sun 1:00 pm vs Sea
J.K. Dobbins,32725,Den,RB,Q,Hip,Sep 23 4:11 AM,Y,Sun 8:20 pm vs LAR
Audric Estime,41019,NO,RB,Q,Thigh,Sep 23 4:11 AM,Y,Sun 4:25 pm vs LV
Jamari Thrash,41016,Cle,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm vs Car
Isaac Guerendo,40998,SF,RB,PUP-R,Pectoral,Sep 23 4:11 AM,N,Sun 4:05 pm vs Ari
Brandon Aiyuk,32695,SF,WR,DNR,Personal,Sep 23 4:11 AM,N,Sun 4:05 pm vs Ari
Dan Chisena,33023,Car,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Cle
Tyrell Shavers,40630,Buf,WR,PUP-R,Knee - ACL,Sep 23 4:11 AM,N,Sun 1:00 pm vs LAC
Michael Pittman Jr.,32704,Pit,WR,Q,Foot,Sep 23 4:11 AM,Y,Sun 1:00 pm vs Cin
Ryan Miller,40676,Mia,WR,Q,Hip,Sep 23 4:11 AM,Y,Sun 1:00 pm vs KC
Princeton Fant,40778,Dal,TE,IR,Knee - ACL + MCL,Sep 23 4:11 AM,N,Sun 4:25 pm vs Bal
Tip Reiman,40959,Ari,TE,PUP-R,Ankle,Sep 23 4:11 AM,N,Sun 4:05 pm @ SF
Trey Benson,40958,Ari,RB,IR,Knee,Sep 23 4:11 AM,N,Sun 4:05 pm @ SF
Dante Miller,40874,NYG,RB,Q,Groin,Sep 23 4:11 AM,N,Sun 1:00 pm vs Ten
Julian Hill,40629,NE,TE,IR,Knee,Sep 23 4:11 AM,N,Sun 1:00 pm @ Jax
Jonathon Brooks,40926,Car,RB,IR,Abdomen,Sep 23 4:11 AM,Y,Sun 1:00 pm @ Cle
Ja'Lynn Polk,40914,NO,WR,RET,Undisclosed,Sep 23 4:11 AM,N,Sun 4:25 pm vs LV
Antonio Gibson,32736,NE,RB,Q,Knee - ACL,Sep 23 4:11 AM,N,Sun 1:00 pm @ Jax
Keon Coleman,40911,Buf,WR,Q,Ankle,Sep 23 4:11 AM,Y,Sun 1:00 pm vs LAC
Brock Bowers,40878,LV,TE,Q,Knee - Meniscus,Sep 23 4:11 AM,Y,Sun 4:25 pm @ NO
Ricky Pearsall,40892,SF,WR,IR,Knee - PCL,Sep 23 4:11 AM,N,Sun 4:05 pm vs Ari
Harrison Bryant,32785,Hou,TE,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Ind
Caleb Williams,40900,Chi,QB,D,Hamstring,Sep 23 4:11 AM,Y,Mon 8:15 pm vs Phi
Gabe Davis,32798,Buf,WR,Q,Knee - ACL,Sep 23 4:11 AM,N,Sun 1:00 pm vs LAC
Colby Parkinson,32803,LAR,TE,Q,Knee,Sep 23 4:11 AM,Y,Sun 8:20 pm @ Den
DeeJay Dallas,32814,Min,RB,Q,Toe,Sep 23 4:11 AM,Y,Sun 4:05 pm @ TB
Ainias Smith,41030,Car,WR,Q,Undisclosed,Sep 23 4:11 AM,N,Sun 1:00 pm @ Cle
Rico Dowdle,33100,Pit,RB,Q,Toe,Sep 23 4:11 AM,Y,Sun 1:00 pm vs Cin
Terrance Ferguson,41831,LAR,TE,Q,Ankle,Sep 23 4:11 AM,Y,Sun 8:20 pm @ Den
McCallan Castles,41373,GB,TE,Q,Undisclosed,Sep 23 4:11 AM,N,Thu 8:15 pm vs Atl
