Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Jeshaun Jones,41205,Min,WR,SUSP,Suspension,N,Sun 4:05 pm @ TB
Brock Rechsteiner,43435,NO,WR,SUSP,Suspension,N,Sun 4:25 pm vs LV
Jaylen Wright,41010,Mia,RB,Q,Foot,Y,Sun 1:00 pm vs KC
Rico Dowdle,33100,Pit,RB,Q,Toe,Y,Sun 1:00 pm vs Cin
Marvin Mims Jr.,40090,Den,WR,Q,Foot,Y,Sun 8:20 pm vs LAR
Zay Flowers,40039,Bal,WR,Q,Hamstring,Y,Sun 4:25 pm @ Dal
Dareke Young,34189,LV,WR,Q,Hamstring,N,Sun 4:25 pm @ NO
Chig Okonkwo,34099,Was,TE,Q,Hamstring,Y,Sun 1:00 pm vs Sea
Kene Nwangwu,33507,NYJ,RB,Q,Back,N,Sun 1:00 pm @ Det
Nico Collins,33477,Hou,WR,Q,Hamstring,Y,Sun 1:00 pm @ Ind
Travis Etienne Jr.,33413,NO,RB,Q,Hamstring,Y,Sun 4:25 pm vs LV
Reggie Gilliam,33357,NE,RB,Q,Knee,N,Sun 1:00 pm @ Jax
Colby Parkinson,32803,LAR,TE,Q,Knee,Y,Sun 8:20 pm @ Den
DeeJay Dallas,32814,Min,RB,Q,Toe,Y,Sun 4:05 pm @ TB
Aidan O'Connell,40138,LV,QB,Q,Personal,N,Sun 4:25 pm @ NO
J.K. Dobbins,32725,Den,RB,Q,Hip,Y,Sun 8:20 pm vs LAR
Michael Pittman Jr.,32704,Pit,WR,Q,Foot,Y,Sun 1:00 pm vs Cin
Ashton Dulin,32292,Ind,WR,Q,Ankle,N,Sun 1:00 pm vs Hou
Jakobi Meyers,32231,Jax,WR,Q,Thumb,Y,Sun 1:00 pm vs NE
Tony Pollard,31960,Ten,RB,Q,Ankle,Y,Sun 1:00 pm @ NYG
DJ Moore,30994,Buf,WR,Q,Shoulder - AC Joint,Y,Sun 1:00 pm vs LAC
Sam Darnold,30973,Sea,QB,Q,Lower Body,Y,Sun 1:00 pm @ Was
Saquon Barkley,30972,Phi,RB,Q,Shoulder,N,Mon 8:15 pm @ Chi
Tyjae Spears,40119,Ten,RB,Q,Ankle,Y,Sun 1:00 pm @ NYG
Puka Nacua,40168,LAR,WR,Q,Groin,Y,Sun 8:20 pm @ Den
Cooper Kupp,30182,Sea,WR,Q,Back,N,Sun 1:00 pm @ Was
Chris Bell,42716,Mia,WR,Q,Knee,Y,Sun 1:00 pm vs KC
Kyle Monangai,42025,Chi,RB,Q,Undisclosed,Y,Mon 8:15 pm vs Phi
LeQuint Allen Jr.,42007,Jax,RB,Q,Hip,Y,Sun 1:00 pm vs NE
RJ Harvey,41845,Den,RB,Q,Hamstring,Y,Sun 8:20 pm vs LAR
Terrance Ferguson,41831,LAR,TE,Q,Ankle,Y,Sun 8:20 pm @ Den
George Holani,41344,Sea,RB,Q,Knee,N,Sun 1:00 pm @ Was
