Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made
Harrison Butker,30346,KC,K,,Sun 1:00 pm @ Mia,FA,1,5,9.06,224,106,41%,0.0,0.4,0.5,0.5,0.3,2.9
Eddy Pineiro,31482,SF,K,,Sun 4:05 pm vs Ari,Maybe Mitchell,1,8,8.87,199,110,58%,0.0,0.4,0.5,0.5,0.3,2.8
Jake Bates,40835,Det,K,,Sun 1:00 pm vs NYJ,FA,1,6,8.80,250,113,55%,0.0,0.4,0.5,0.5,0.3,2.9
Tyler Bass,32858,Buf,K,,Sun 1:00 pm vs LAC,FA,1,7,8.79,275,114,20%,0.0,0.4,0.5,0.5,0.3,2.9
Trey Smack,42838,GB,K,,Thu 8:15 pm vs Atl,FA,1,11,8.63,216,115,22%,0.0,0.4,0.5,0.5,0.3,2.5
Tyler Loop,41988,Bal,K,,Sun 4:25 pm @ Dal,Owl Out Blitz,1,13,8.61,212,117,87%,0.0,0.4,0.5,0.5,0.3,2.8
Brandon Aubrey,40819,Dal,K,,Sun 4:25 pm vs Bal,Locked In Michelle,1,14,8.51,186,120,99%,0.0,0.4,0.5,0.4,0.3,2.6
Cam Little,41062,Jax,K,,Sun 1:00 pm vs NE,Dave’s Bone Crushers,1,7,8.44,192,123,93%,0.0,0.4,0.5,0.4,0.3,2.6
Ka'imi Fairbairn,29792,Hou,K,,Sun 1:00 pm @ Ind,Max’s TD Bombers,1,8,8.40,191,128,96%,0.0,0.4,0.5,0.5,0.3,2.3
Daniel Carlson,31137,NO,K,,Sun 4:25 pm vs LV,FA,1,8,8.35,"2,054",130,2%,0.0,0.4,0.5,0.5,0.3,2.5
Jason Myers,28378,Sea,K,,Sun 1:00 pm @ Was,Steel City,1,11,8.33,197,132,93%,0.0,0.4,0.5,0.5,0.3,2.5
Harrison Mevis,41312,LAR,K,,Sun 8:20 pm @ Den,Monday Night Madison,1,11,8.31,210,133,56%,0.0,0.4,0.5,0.4,0.3,2.6
Spencer Shrader,41499,Ind,K,,Sun 1:00 pm vs Hou,FA,1,13,8.17,320,135,12%,0.0,0.4,0.5,0.5,0.3,2.1
Will Reichard,41093,Min,K,,Sun 4:05 pm @ TB,Sunday Kevin,1,6,8.02,214,138,58%,0.0,0.4,0.5,0.4,0.3,2.3
Evan McPherson,33537,Cin,K,,Sun 1:00 pm @ Pit,FA,1,6,7.88,239,145,62%,0.0,0.4,0.5,0.4,0.2,2.4
Jake Elliott,30266,Phi,K,,Mon 8:15 pm @ Chi,FA,1,10,7.79,"2,056",147,8%,0.0,0.4,0.5,0.4,0.2,2.3
Matt Gay,31977,LV,K,,Sun 4:25 pm @ NO,FA,1,13,7.75,342,149,4%,0.0,0.4,0.5,0.5,0.1,2.1
Wil Lutz,29754,Den,K,,Sun 8:20 pm vs LAR,FA,1,10,7.74,348,150,18%,0.0,0.4,0.5,0.4,0.3,2.3
Ryan Fitzgerald,42262,Car,K,,Sun 1:00 pm @ Cle,FA,1,5,7.74,"2,081",151,1%,0.0,0.4,0.5,0.4,0.2,2.2
Chase McLaughlin,32417,TB,K,,Sun 4:05 pm vs Min,JGrahnasaurs,1,10,7.70,248,153,21%,0.0,0.4,0.5,0.4,0.3,2.2
Dominic Zvada,43171,NYG,K,,Sun 1:00 pm vs Ten,FA,1,8,7.64,"2,667",155,1%,0.0,0.4,0.5,0.4,0.2,2.1
Chris Boswell,28188,Pit,K,,Sun 1:00 pm vs Cin,FA,1,9,7.60,251,157,18%,0.0,0.4,0.5,0.4,0.3,2.0
Cameron Dicker,34344,LAC,K,,Sun 1:00 pm @ Buf,Jason's Jazzy Team,1,7,7.59,233,158,86%,0.0,0.4,0.5,0.4,0.2,2.2
Andy Borregales,41980,NE,K,,Sun 1:00 pm @ Jax,FA,1,11,7.54,301,161,6%,0.0,0.3,0.5,0.4,0.2,2.3
Blake Grupe,40296,NYJ,K,,Sun 1:00 pm @ Det,FA,1,13,7.48,"2,053",162,0%,-,0.3,0.4,0.4,0.3,2.3
Jason Sanders,31199,NYJ,K,NA,Sun 1:00 pm @ Det,FA,1,13,7.33,"2,097",167,0%,0.0,0.4,0.4,0.4,0.2,2.1
Cairo Santos,28227,Chi,K,,Mon 8:15 pm vs Phi,FA,1,10,7.28,206,171,49%,0.0,0.3,0.5,0.4,0.3,2.0
Nick Folk,8432,Atl,K,,Thu 8:15 pm @ GB,FA,1,11,7.23,"1,881",173,3%,0.0,0.3,0.5,0.4,0.2,2.0
Drew Stevens,43370,Was,K,,Sun 1:00 pm vs Sea,FA,1,7,7.17,"2,638",176,1%,0.0,0.4,0.5,0.4,0.2,1.9
Chad Ryland,40159,Ari,K,,Sun 4:05 pm @ SF,FA,1,14,6.99,339,181,1%,0.0,0.3,0.4,0.4,0.2,2.0
Andre Szmyt,40496,Cle,K,,Sun 1:00 pm vs Car,FA,1,11,6.91,"2,083",185,0%,0.0,0.3,0.4,0.4,0.2,1.9
Joey Slye,32384,Ten,K,,Sun 1:00 pm @ NYG,FA,1,9,6.84,349,189,1%,0.0,0.4,0.4,0.4,0.2,1.8
Riley Patterson,33781,Mia,K,,Sun 1:00 pm vs KC,FA,1,6,6.58,"2,048",199,0%,0.0,0.3,0.4,0.4,0.2,1.6
Will Ferrin,43169,NYJ,K,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,702",578,0%,-,-,-,-,-,-
Mason Shipley,42948,NO,K,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,698","1,159",0%,-,-,-,-,-,-
Gabriel Plascencia,43025,Chi,K,NA,Mon 8:15 pm vs Phi,FA,-,10,0.00,"2,708",492,0%,-,-,-,-,-,-
Luke Drzewiecki,43056,Bal,K,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,707",507,0%,-,-,-,-,-,-
Chris Freeman,43103,Hou,K,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,706",532,0%,-,-,-,-,-,-
Kansei Matsuzawa,43135,LV,K,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,696",553,0%,-,-,-,-,-,-
Laith Marjan,43136,Pit,K,NA,Sun 1:00 pm vs Cin,FA,-,9,0.00,"2,701",554,0%,-,-,-,-,-,-
Ethan Sanchez,43175,SF,K,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,703",579,0%,-,-,-,-,-,-
Ben Sauls,42379,NYG,K,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,704",972,0%,-,-,-,-,-,-
Tanner Brown,40376,NO,K,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,709",986,0%,-,-,-,-,-,-
