Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Josh Allen,30977,Buf,QB,,Sun 1:00 pm vs LAC,Dave’s Bone Crushers,1,7,23.89,25,1,100%,252,1.8,0.7,7.7,36.9,0.7,-,-,-,-,-,0.1,0.2
Lamar Jackson,31002,Bal,QB,,Sun 4:25 pm @ Dal,Maybe Mitchell,1,13,22.89,28,2,100%,255,1.8,0.5,7.4,41.6,0.3,-,-,-,-,-,0.1,0.2
Patrick Mahomes,30123,KC,QB,,Sun 1:00 pm @ Mia,JGrahnasaurs,1,5,20.90,67,4,93%,258,2.0,0.6,3.7,19.5,0.2,-,-,-,-,-,0.1,0.2
Brock Purdy,34218,SF,QB,,Sun 4:05 pm vs Ari,Dave’s Bone Crushers,1,8,20.56,38,5,95%,259,1.9,0.8,4.1,19.5,0.2,-,-,-,-,-,0.1,0.1
Dak Prescott,29369,Dal,QB,,Sun 4:25 pm vs Bal,Max’s TD Bombers,1,14,20.21,50,6,97%,287,1.9,0.6,2.9,11.3,0.1,-,-,-,-,-,0.1,0.2
Jared Goff,29235,Det,QB,,Sun 1:00 pm vs NYJ,Jason's Jazzy Team,1,6,19.51,69,7,87%,270,2.0,0.3,2.0,5.8,0.1,-,-,-,-,-,0.1,0.1
Tyler Shough,41825,NO,QB,,Sun 4:25 pm vs LV,FA,1,8,19.32,100,8,62%,257,1.6,0.6,4.8,17.2,0.3,-,-,-,-,-,0.1,0.2
Jalen Hurts,32723,Phi,QB,,Mon 8:15 pm @ Chi,Max’s TD Bombers,1,10,19.00,29,9,100%,216,1.4,0.6,6.8,29.9,0.4,-,-,-,-,-,0.1,0.2
Drake Maye,40881,NE,QB,,Sun 1:00 pm @ Jax,Jason's Jazzy Team,1,11,18.92,79,10,97%,250,1.5,0.7,5.4,25.9,0.2,-,-,-,-,-,0.1,0.1
Joe Burrow,32671,Cin,QB,,Sun 1:00 pm @ Pit,Locked In Michelle,1,6,18.92,78,11,99%,280,1.8,0.8,2.9,9.0,0.1,-,-,-,-,-,0.1,0.2
Trevor Lawrence,33389,Jax,QB,,Sun 1:00 pm vs NE,Sunday Kevin,1,7,18.49,61,13,94%,238,1.6,0.6,4.4,17.5,0.3,-,-,-,-,-,0.1,0.2
Kyler Murray,31833,Min,QB,,Sun 4:05 pm @ TB,FA,1,6,18.04,124,14,62%,212,1.5,0.5,6.3,30.7,0.2,-,-,-,-,-,0.1,0.2
C.J. Stroud,40030,Hou,QB,,Sun 1:00 pm @ Ind,FA,1,8,17.96,138,15,46%,257,1.6,0.6,3.2,13.3,0.1,-,-,-,-,-,0.1,0.2
Bo Nix,40875,Den,QB,,Sun 8:20 pm vs LAR,Steel City,1,10,17.60,101,18,84%,239,1.5,0.8,4.2,17.4,0.2,-,-,-,-,-,0.1,0.1
Jordan Love,32696,GB,QB,,Thu 8:15 pm vs Atl,Locked In Michelle,1,11,17.42,90,19,72%,248,1.7,0.7,3.0,11.7,0.1,-,-,-,-,-,0.1,0.1
Justin Herbert,32676,LAC,QB,,Sun 1:00 pm @ Buf,Sunday Kevin,1,7,17.38,86,20,93%,225,1.5,0.7,4.4,23.1,0.2,-,-,-,-,-,0.1,0.2
Baker Mayfield,30971,TB,QB,,Sun 4:05 pm vs Min,Monday Night Madison,1,10,16.66,134,24,53%,227,1.5,0.7,3.5,17.0,0.1,-,-,-,-,-,0.1,0.1
Matthew Stafford,9265,LAR,QB,,Sun 8:20 pm @ Den,JGrahnasaurs,1,11,16.65,104,25,90%,246,1.7,0.6,1.6,3.5,0.0,-,-,-,-,-,0.1,0.1
Bryce Young,40029,Car,QB,,Sun 1:00 pm @ Cle,Owl Out Blitz,1,5,16.38,108,26,48%,212,1.5,0.7,3.7,16.8,0.2,-,-,-,-,-,0.1,0.1
Jacoby Brissett,29325,Ari,QB,,Sun 4:05 pm @ SF,FA,1,14,16.32,270,29,8%,235,1.5,0.5,2.7,10.9,0.1,-,-,-,-,-,0.1,0.2
Malik Willis,34042,Mia,QB,,Sun 1:00 pm vs KC,FA,1,6,16.25,128,30,34%,197,1.2,0.5,5.9,28.8,0.3,-,-,-,-,-,0.1,0.1
Daniel Jones,31838,Ind,QB,,Sun 1:00 pm vs Hou,FA,1,13,15.89,146,31,21%,228,1.3,0.7,3.8,14.7,0.2,-,-,-,-,-,0.1,0.1
Geno Smith,26662,NYJ,QB,,Sun 1:00 pm @ Det,FA,1,13,15.84,253,32,6%,233,1.4,0.8,3.3,13.1,0.1,-,-,-,-,-,0.1,0.2
Jameis Winston,28389,NYG,QB,,Sun 1:00 pm vs Ten,FA,1,8,15.71,"2,797",33,3%,221,1.3,0.8,4.5,14.7,0.2,-,-,-,-,-,0.1,0.2
Drew Lock,31874,Sea,QB,,Sun 1:00 pm @ Was,FA,1,11,15.69,"2,674",34,7%,217,1.5,0.7,3.2,12.9,0.1,-,-,-,-,-,0.1,0.1
Aaron Rodgers,7200,Pit,QB,,Sun 1:00 pm vs Cin,FA,1,9,15.64,213,35,9%,232,1.5,0.7,1.7,7.1,0.1,-,-,-,-,-,0.1,0.1
Deshaun Watson,30125,Cle,QB,,Sun 1:00 pm vs Car,FA,1,11,15.28,278,38,4%,213,1.3,0.7,3.8,16.9,0.1,-,-,-,-,-,0.1,0.2
Cam Ward,41786,Ten,QB,,Sun 1:00 pm @ NYG,FA,1,9,14.93,165,40,11%,203,1.3,0.4,2.9,12.7,0.2,-,-,-,-,-,0.1,0.1
Kirk Cousins,25812,LV,QB,,Sun 4:25 pm @ NO,FA,1,13,14.56,290,43,9%,221,1.4,0.7,2.3,5.1,0.1,-,-,-,-,-,0.1,0.1
Marcus Mariota,28390,Was,QB,,Sun 1:00 pm vs Sea,FA,1,7,14.10,"2,489",47,1%,186,1.0,0.9,6.0,26.6,0.2,-,-,-,-,-,0.1,0.2
Michael Penix Jr.,40889,Atl,QB,,Thu 8:15 pm @ GB,FA,1,11,13.85,240,49,4%,209,1.2,0.6,2.3,8.0,0.1,-,-,-,-,-,0.1,0.1
Tyson Bagent,40504,Chi,QB,Q,Mon 8:15 pm vs Phi,FA,1,10,10.11,"2,875",85,0%,138,0.8,0.4,3.2,10.4,0.1,-,-,-,-,-,0.0,0.1
Sam Darnold,30973,Sea,QB,Q,Sun 1:00 pm @ Was,Monday Night Madison,1,11,8.89,152,109,28%,129,0.9,0.4,1.4,4.9,0.0,-,-,-,-,-,-,-
Case Keenum,26483,Chi,QB,,Mon 8:15 pm vs Phi,FA,1,10,6.79,"2,829",192,0%,107,0.6,0.5,1.2,4.4,0.0,-,-,-,-,-,0.0,0.1
Will Howard,41989,Pit,QB,,Sun 1:00 pm vs Cin,FA,1,9,0.00,"2,811",794,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Graham Mertz,41975,Hou,QB,IR,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,841",792,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Max Brosmer,42075,Min,QB,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,881",821,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kurtis Rourke,42009,SF,QB,,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,828",801,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Quinn Ewers,42037,Jax,QB,,Sun 1:00 pm vs NE,FA,1,7,0.00,"2,774",808,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jalen Milroe,41882,Sea,QB,,Sun 1:00 pm @ Was,FA,1,11,0.00,"2,887",773,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyle McCord,41971,Mia,QB,,Sun 1:00 pm vs KC,FA,1,6,0.00,"2,810",790,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Riley Leonard,41968,Ind,QB,,Sun 1:00 pm vs Hou,FA,1,13,0.00,"2,867",789,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Cam Miller,41964,Mia,QB,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,855",788,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shedeur Sanders,41930,Cle,QB,,Sun 1:00 pm vs Car,FA,1,11,0.00,302,784,2%,-,-,-,-,-,-,-,-,-,-,-,-,-
Connor Bazelak,42084,TB,QB,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,861",824,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dillon Gabriel,41861,Cle,QB,IR-R,Sun 1:00 pm vs Car,FA,-,11,0.00,"2,800",772,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jaxson Dart,41810,NYG,QB,O,Sun 1:00 pm vs Ten,W (Sep 25),-,8,0.00,113,766,65%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kedon Slovis,41476,GB,QB,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,807",718,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam Hartman,41238,Was,QB,NA,Sun 1:00 pm vs Sea,FA,-,7,0.00,"2,873",623,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Austin Reed,41220,Bal,QB,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,805",614,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Carter Bradley,41133,Jax,QB,NA,Sun 1:00 pm vs NE,FA,-,7,0.00,"2,818",582,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joe Milton III,41060,Dal,QB,NA,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,878",533,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
DJ Uiagalelei,42079,LAC,QB,NA,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,835",822,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Cade Klubnik,42732,NYJ,QB,,Sun 1:00 pm @ Det,FA,1,13,0.00,"2,830","1,079",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Seth Henigan,42205,Ind,QB,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,859",880,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Luke Altmyer,42899,Det,QB,NA,Sun 1:00 pm vs NYJ,FA,-,6,0.00,"2,842","1,130",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Mark Gronowski,43146,Hou,QB,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,819",560,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jacob Clark,43128,LV,QB,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,827",549,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ken Seals,43111,KC,QB,NA,Sun 1:00 pm @ Mia,FA,-,5,0.00,"2,825",538,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jake Retzlaff,43004,Sea,QB,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,809","1,192",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joe Fagnano,43003,Bal,QB,,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,824","1,191",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Diego Pavia,43001,Bal,QB,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,849","1,189",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kaidon Salter,42982,Ten,QB,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,860","1,181",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jalon Daniels,42919,TB,QB,,Sun 4:05 pm vs Min,FA,1,10,0.00,"2,856","1,145",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Haynes King,42904,Car,QB,,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,834","1,137",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joey Aguilar,42903,Jax,QB,,Sun 1:00 pm vs NE,FA,-,7,0.00,"2,832","1,135",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Miller Moss,42902,Chi,QB,NA,Mon 8:15 pm vs Phi,FA,-,10,0.00,"2,817","1,133",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Matthew Caldwell,42901,LAR,QB,IR,Sun 8:20 pm @ Den,FA,-,11,0.00,"2,804","1,132",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyron Drones,42900,GB,QB,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,857","1,131",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jack Strand,42898,Atl,QB,,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,871","1,129",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brady Cook,42229,Mia,QB,,Sun 1:00 pm vs KC,FA,1,6,0.00,"2,863",897,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sawyer Robertson,42893,LV,QB,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,851","1,126",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Chandler Morris,42883,TB,QB,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,820","1,121",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Garrett Nussmeier,42871,KC,QB,,Sun 1:00 pm @ Mia,FA,1,5,0.00,"2,821","1,117",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Behren Morton,42856,NE,QB,,Sun 1:00 pm @ Jax,FA,1,11,0.00,"2,850","1,113",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Athan Kaliakmanis,42845,Was,QB,,Sun 1:00 pm vs Sea,FA,1,7,0.00,"2,812","1,107",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Taylen Green,42804,Cle,QB,,Sun 1:00 pm vs Car,FA,1,11,0.00,"2,874","1,095",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Cole Payton,42801,Phi,QB,,Mon 8:15 pm @ Chi,FA,1,10,0.00,"2,813","1,093",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
J.J. McCarthy,40905,Min,QB,,Sun 4:05 pm @ TB,FA,1,6,0.00,"2,100","1,164",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Drew Allar,42698,Pit,QB,,Sun 1:00 pm vs Cin,FA,1,9,0.00,"2,816","1,072",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Carson Beck,42687,Ari,QB,,Sun 4:05 pm @ SF,FA,1,14,0.00,"2,833","1,068",1%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ty Simpson,42635,LAR,QB,,Sun 8:20 pm @ Den,FA,1,11,0.00,"2,826","1,054",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Fernando Mendoza,42623,LV,QB,,Sun 4:25 pm @ NO,FA,1,13,0.00,300,"1,050",8%,-,-,-,-,-,-,-,-,-,-,-,-,-
Hunter Dekkers,42537,NO,QB,NA,Sun 4:25 pm vs LV,FA,-,8,0.00,"2,802","1,028",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Spencer Rattler,41043,NO,QB,,Sun 4:25 pm vs LV,FA,1,8,0.00,"2,514",525,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Will Levis,40068,NYJ,QB,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,791",836,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Caleb Williams,40900,Chi,QB,D,Mon 8:15 pm vs Phi,Owl Out Blitz,1,10,0.00,107,"1,160",98%,-,-,-,-,-,-,-,-,-,-,-,-,-
Nathan Peterman,30284,Atl,QB,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,858","1,038",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jake Browning,32138,TB,QB,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,664",971,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gardner Minshew II,32010,Ari,QB,,Sun 4:05 pm @ SF,FA,1,14,0.00,"2,883",908,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Easton Stick,31998,TB,QB,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,840",902,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jarrett Stidham,31965,Den,QB,,Sun 8:20 pm vs LAR,FA,1,10,0.00,"2,853",881,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
