Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Jahmyr Gibbs,40059,Det,RB,,Sun 1:00 pm vs NYJ,Locked In Michelle,1,6,21.28,1,3,100%,-,-,-,20.3,96.3,0.7,5.5,4.4,35.1,0.3,-,0.1,0.1
Christian McCaffrey,30121,SF,RB,,Sun 4:05 pm vs Ari,Jason's Jazzy Team,1,8,18.71,9,12,100%,-,-,-,16.3,69.2,0.6,5.5,4.7,41.4,0.3,-,0.0,0.1
Bijan Robinson,40055,Atl,RB,,Thu 8:15 pm @ GB,Dave’s Bone Crushers,1,11,17.87,2,16,100%,-,-,-,18.5,80.2,0.4,5.9,4.5,37.9,0.2,-,0.0,0.1
Kenneth Walker III,33996,KC,RB,,Sun 1:00 pm @ Mia,Max’s TD Bombers,1,5,17.65,6,17,100%,-,-,-,17.4,82.2,0.7,4.1,3.3,27.2,0.2,-,0.0,0.1
Derrick Henry,29279,Bal,RB,,Sun 4:25 pm @ Dal,JGrahnasaurs,1,13,16.99,8,22,100%,-,-,-,18.2,96.4,0.8,1.7,1.4,13.5,0.1,-,0.1,0.1
Jonathan Taylor,32711,Ind,RB,,Sun 1:00 pm vs Hou,Max’s TD Bombers,1,13,16.34,3,27,100%,-,-,-,19.9,83.8,0.6,3.7,2.8,21.8,0.1,-,0.1,0.1
De'Von Achane,40118,Mia,RB,,Sun 1:00 pm vs KC,Jason's Jazzy Team,1,6,15.57,23,36,100%,-,-,-,15.2,70.8,0.4,5.2,4.3,29.8,0.2,-,0.0,0.1
James Cook III,34019,Buf,RB,,Sun 1:00 pm vs LAC,Sunday Kevin,1,7,15.24,7,39,100%,-,-,-,17.2,80.5,0.6,3.1,2.2,17.9,0.1,-,0.0,0.1
Chase Brown,40196,Cin,RB,,Sun 1:00 pm @ Pit,Steel City,1,6,14.50,10,45,100%,-,-,-,15.3,60.9,0.4,5.0,4.1,25.6,0.2,-,0.0,0.1
Breece Hall,33991,NYJ,RB,,Sun 1:00 pm @ Det,Maybe Mitchell,1,13,14.26,32,46,99%,-,-,-,15.3,66.5,0.4,3.8,3.2,27.6,0.2,-,0.0,0.1
Ashton Jeanty,41791,LV,RB,,Sun 4:25 pm @ NO,Max’s TD Bombers,1,13,13.99,13,48,100%,-,-,-,17.2,61.3,0.4,5.5,3.9,23.7,0.2,-,0.0,0.1
Chuba Hubbard,33514,Car,RB,,Sun 1:00 pm @ Cle,Jason's Jazzy Team,1,5,13.70,63,50,93%,-,-,-,18.6,75.6,0.4,3.0,2.4,16.1,0.1,-,0.0,0.1
Saquon Barkley,30972,Phi,RB,Q,Mon 8:15 pm @ Chi,Monday Night Madison,1,10,13.64,16,51,100%,-,-,-,16.9,75.5,0.4,3.0,2.2,18.0,0.1,-,0.0,0.1
Omarion Hampton,41807,LAC,RB,,Sun 1:00 pm @ Buf,Monday Night Madison,1,7,13.37,20,54,100%,-,-,-,15.9,72.6,0.5,2.6,2.5,15.0,0.1,-,0.0,0.1
Javonte Williams,33423,Dal,RB,,Sun 4:25 pm vs Bal,JGrahnasaurs,1,14,13.32,19,55,100%,-,-,-,15.7,62.7,0.6,3.1,2.4,13.3,0.1,-,0.1,0.1
Cam Skattebo,41922,NYG,RB,,Sun 1:00 pm vs Ten,Locked In Michelle,1,8,12.91,45,58,98%,-,-,-,15.8,65.4,0.5,2.6,2.3,19.6,0.1,-,0.0,0.1
Bucky Irving,40993,TB,RB,,Sun 4:05 pm vs Min,Sunday Kevin,1,10,12.35,35,63,98%,-,-,-,15.4,57.4,0.4,3.9,2.8,21.8,0.1,-,0.0,0.1
Quinshon Judkins,41821,Cle,RB,,Sun 1:00 pm vs Car,Owl Out Blitz,1,11,12.30,76,64,96%,-,-,-,16.6,64.3,0.5,2.7,2.5,15.7,0.1,-,0.0,0.1
David Montgomery,31905,Hou,RB,,Sun 1:00 pm @ Ind,Maybe Mitchell,1,8,12.29,42,65,98%,-,-,-,14.6,54.9,0.6,2.6,2.0,16.1,0.1,-,0.0,0.1
Kyren Williams,34120,LAR,RB,,Sun 8:20 pm @ Den,Locked In Michelle,1,11,11.97,22,67,100%,-,-,-,13.7,61.2,0.5,2.7,1.8,12.2,0.1,-,0.0,0.1
D'Andre Swift,32705,Chi,RB,,Mon 8:15 pm vs Phi,Owl Out Blitz,1,10,11.92,21,69,98%,-,-,-,14.4,64.2,0.4,3.0,2.0,15.5,0.1,-,0.0,0.1
Jeremiyah Love,42625,Ari,RB,,Sun 4:05 pm @ SF,Monday Night Madison,1,14,11.68,36,71,99%,-,-,-,11.3,44.9,0.4,4.2,3.3,25.1,0.2,-,0.0,0.1
Jaylen Warren,34447,Pit,RB,Q,Sun 1:00 pm vs Cin,Dave’s Bone Crushers,1,9,11.65,80,72,94%,-,-,-,11.9,55.1,0.3,3.4,2.9,22.7,0.1,-,0.0,0.1
Aaron Jones Sr.,30295,Min,RB,Q,Sun 4:05 pm @ TB,Locked In Michelle,1,6,11.44,82,75,85%,-,-,-,16.1,61.8,0.3,2.9,2.3,16.3,0.1,-,0.0,0.1
Jadarian Price,42654,Sea,RB,Q,Sun 1:00 pm @ Was,Dave’s Bone Crushers,1,11,11.37,81,76,96%,-,-,-,13.5,60.3,0.5,1.8,1.4,13.0,0.1,0.0,0.0,0.1
TreVeyon Henderson,41823,NE,RB,,Sun 1:00 pm @ Jax,Steel City,1,11,10.42,49,82,93%,-,-,-,11.9,52.3,0.4,2.6,2.1,13.3,0.1,-,0.0,0.1
Bhayshul Tuten,41900,Jax,RB,,Sun 1:00 pm vs NE,Steel City,1,7,9.79,46,90,95%,-,-,-,12.4,49.0,0.4,2.3,1.7,12.4,0.1,-,0.0,0.1
Travis Etienne Jr.,33413,NO,RB,Q,Sun 4:25 pm vs LV,JGrahnasaurs,1,8,9.70,57,92,98%,-,-,-,11.7,44.2,0.3,2.7,2.3,16.5,0.2,-,0.0,0.1
Tony Pollard,31960,Ten,RB,Q,Sun 1:00 pm @ NYG,Maybe Mitchell,1,9,9.66,129,93,89%,-,-,-,12.4,58.7,0.3,2.1,1.4,9.0,0.0,-,0.0,0.1
Rico Dowdle,33100,Pit,RB,Q,Sun 1:00 pm vs Cin,W (Sep 26),1,9,9.41,106,96,88%,-,-,-,10.4,45.3,0.3,2.8,2.0,14.6,0.1,-,0.0,0.0
Rhamondre Stevenson,33508,NE,RB,,Sun 1:00 pm @ Jax,Jason's Jazzy Team,1,11,9.04,51,107,94%,-,-,-,8.7,36.9,0.3,2.9,2.4,19.5,0.1,-,0.0,0.0
Jacory Croskey-Merritt,42010,Was,RB,,Sun 1:00 pm vs Sea,Owl Out Blitz,1,7,8.46,110,122,86%,-,-,-,13.2,52.3,0.4,1.1,0.8,5.0,0.0,-,0.0,0.1
RJ Harvey,41845,Den,RB,Q,Sun 8:20 pm vs LAR,Max’s TD Bombers,1,10,8.39,137,129,77%,-,-,-,7.7,30.6,0.2,3.4,2.8,20.0,0.1,-,0.0,0.0
MarShawn Lloyd,40971,GB,RB,,Thu 8:15 pm vs Atl,Steel City,1,11,8.27,123,134,82%,-,-,-,9.4,36.8,0.3,2.1,1.8,13.4,0.1,-,0.0,0.0
Blake Corum,40962,LAR,RB,,Sun 8:20 pm @ Den,Maybe Mitchell,1,11,8.01,95,139,87%,-,-,-,11.0,50.2,0.3,0.9,0.7,4.1,0.0,-,0.0,0.0
Kyle Monangai,42025,Chi,RB,Q,Mon 8:15 pm vs Phi,Jason's Jazzy Team,1,10,7.63,114,156,82%,-,-,-,9.7,44.3,0.2,1.5,1.2,9.6,0.0,-,0.0,0.0
Woody Marks,41902,Hou,RB,,Sun 1:00 pm @ Ind,JGrahnasaurs,1,8,7.16,143,177,50%,-,-,-,8.8,32.5,0.2,2.4,1.6,13.1,0.1,-,0.0,0.0
Alvin Kamara,30180,NO,RB,,Sun 4:25 pm vs LV,FA,1,8,6.97,203,182,33%,-,-,-,8.1,28.2,0.2,2.9,2.3,14.0,0.1,-,0.0,0.1
