Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,C.J. West,41916,SF,DT,IR,FA,Deactivated,Sun 4:05 pm vs Ari
Sep 23,Shemar Turner,41847,Chi,"DT,DE",PUP-R,FA,Deactivated,Mon 8:15 pm vs Phi
Sep 23,Will Johnson,41832,Ari,CB,IR,FA,Deactivated,Sun 4:05 pm @ SF
Sep 23,Dell Pettus,41413,NE,S,IR,FA,Deactivated,Sun 1:00 pm @ Jax
Sep 23,Starling Thomas V,40593,Ari,CB,,FA,Activated,Sun 4:05 pm @ SF
Sep 23,Jose Ramirez,40215,NE,LB,,FA,Activated,Sun 1:00 pm @ Jax
Sep 23,Andrei Iosivas,40211,Cin,WR,O,FA,Deactivated,Sun 1:00 pm @ Pit
Sep 23,Noah Sewell,40172,Chi,LB,PUP-R,FA,Deactivated,Mon 8:15 pm vs Phi
Sep 23,Ronnie Rivers,34310,LAR,RB,IR,FA,Deactivated,Sun 8:20 pm @ Den
Sep 23,Rodney Thomas II,34195,Sea,S,,FA,Activated,Sun 1:00 pm @ Was
Sep 23,Alec Pierce,34008,Ind,WR,O,W (Sep 26),Deactivated,Sun 1:00 pm vs Hou
Sep 23,Kyler Gordon,33994,Chi,"DB,CB",PUP-R,FA,Deactivated,Mon 8:15 pm vs Phi
Sep 23,Naquan Jones,33833,SF,DT,,FA,Activated,Sun 4:05 pm vs Ari
Sep 23,Jonathon Brooks,40926,Car,RB,IR,Sunday Kevin,Deactivated,Sun 1:00 pm @ Cle
Sep 23,Isaiah Simmons,32678,Car,"DB,LB,S",,FA,Activated,Sun 1:00 pm @ Cle
Sep 23,Arian Smith,41896,NYJ,WR,IR,FA,Deactivated,Sun 1:00 pm @ Det
Sep 23,Andre Jones Jr.,40247,Mia,"LB,DE",,FA,Activated,Sun 1:00 pm vs KC
Sep 23,M. McCrary-Ball,34321,NYJ,LB,IR,FA,Deactivated,Sun 1:00 pm @ Det
Sep 23,Jack Heflin,33755,NYJ,"DT,DE",,FA,Activated,Sun 1:00 pm @ Det
Sep 23,David Onyemata,29354,NYJ,"DL,DT",IR,FA,Deactivated,Sun 1:00 pm @ Det
Sep 22,Bishop Fitzgerald,42994,Det,S,,FA,Activated,Sun 1:00 pm vs NYJ
Sep 22,Robert Longerbeam,41998,Atl,CB,,FA,Activated,Thu 8:15 pm @ GB
Sep 22,Hayden Rucci,41692,LAC,TE,,FA,Activated,Sun 1:00 pm @ Buf
Sep 22,Andre Jones Jr.,40247,Mia,"LB,DE",,FA,Deactivated,Sun 1:00 pm vs KC
Sep 22,Zach Harrison,40115,Atl,"DL,DE",,FA,Activated,Thu 8:15 pm @ GB
Sep 22,Micheal Clemons,34073,Ind,DE,IR,FA,Deactivated,Sun 1:00 pm vs Hou
Sep 22,A.J. Terrell Jr.,32686,Atl,CB,IR,FA,Deactivated,Thu 8:15 pm @ GB
Sep 22,Gary Jennings,31952,LAC,WR,NA,FA,Deactivated,Sun 1:00 pm @ Buf
Sep 22,Elias Neal,41529,LAR,LB,NA,FA,Deactivated,Sun 8:20 pm @ Den
Sep 22,Malik Harrison,32768,NYG,LB,NA,FA,Deactivated,Sun 1:00 pm vs Ten
Sep 22,Darius Slayton,32003,Ind,WR,,FA,Activated,Sun 1:00 pm vs Hou
Sep 21,Elias Neal,41529,LAR,LB,NA,FA,Activated,Sun 8:20 pm @ Den
Sep 21,Andre Jones Jr.,40247,Mia,"LB,DE",,FA,Activated,Sun 1:00 pm vs KC
Sep 21,Charlie Kolar,34084,LAC,TE,O,FA,Deactivated,Sun 1:00 pm @ Buf
Sep 21,Malik Harrison,32768,NYG,LB,NA,FA,Activated,Sun 1:00 pm vs Ten
Sep 21,Dillon Bell,42914,Min,WR,NA,FA,Deactivated,Sun 4:05 pm @ TB
Sep 21,Ale Kaho,42494,Was,LB,NA,FA,Deactivated,Sun 1:00 pm vs Sea
Sep 21,Isas Waxter,42447,LAC,CB,NA,FA,Deactivated,Sun 1:00 pm @ Buf
Sep 21,Doneiko Slaughter,42208,Pit,CB,NA,FA,Deactivated,Sun 1:00 pm vs Cin
Sep 21,Justin Barron,42154,Dal,LB,NA,FA,Deactivated,Sun 4:25 pm vs Bal
Sep 21,Ricky Barber,42147,Was,DT,NA,FA,Deactivated,Sun 1:00 pm vs Sea
Sep 21,Jalen McLeod,41981,Jax,LB,NA,FA,Deactivated,Sun 1:00 pm vs NE
Sep 21,Carl Jones Jr.,41329,Bal,LB,NA,FA,Deactivated,Sun 4:25 pm @ Dal
Sep 21,Marcus Harris,41109,KC,"DL,DT",NA,FA,Deactivated,Sun 1:00 pm @ Mia
Sep 21,Nathaniel Watson,41068,Cle,LB,O,FA,Deactivated,Sun 1:00 pm vs Car
Sep 21,Anthony Gould,41046,Ind,WR,NA,FA,Deactivated,Sun 1:00 pm vs Hou
Sep 21,Liam Anderson,40522,Mia,LB,NA,FA,Deactivated,Sun 1:00 pm vs KC
Sep 21,Erick Hallett II,40210,Ten,"S,CB",NA,FA,Deactivated,Sun 1:00 pm @ NYG
Sep 21,Zach Harrison,40115,Atl,"DL,DE",,FA,Deactivated,Thu 8:15 pm @ GB
Sep 21,Kevin Austin Jr.,34242,NO,WR,NA,FA,Deactivated,Sun 4:25 pm vs LV
Sep 21,Rodney Thomas II,34195,Sea,S,,FA,Deactivated,Sun 1:00 pm @ Was
Sep 21,Adam Prentice,33901,Den,RB,NA,FA,Deactivated,Sun 8:20 pm vs LAR
Sep 21,Cole Christiansen,32977,KC,LB,NA,FA,Deactivated,Sun 1:00 pm @ Mia
Sep 21,Cody White,32948,LV,WR,NA,FA,Deactivated,Sun 4:25 pm @ NO
Sep 21,Isaiah Simmons,32678,Car,"DB,LB,S",,FA,Deactivated,Sun 1:00 pm @ Cle
Sep 21,Joe Giles-Harris,32091,Cin,LB,NA,FA,Deactivated,Sun 1:00 pm @ Pit
Sep 21,Travis Homer,32036,Pit,RB,NA,FA,Deactivated,Sun 1:00 pm vs Cin
Sep 21,Jason Sanders,31199,NYJ,K,NA,FA,Deactivated,Sun 1:00 pm @ Det
Sep 21,Nick Mullens,30563,Jax,QB,NA,FA,Deactivated,Sun 1:00 pm vs NE
Sep 21,Josh Johnson,8937,Cin,QB,NA,FA,Deactivated,Sun 1:00 pm @ Pit
Sep 20,Erick Hallett II,40210,Ten,"S,CB",NA,FA,Activated,Sun 1:00 pm @ NYG
Sep 20,Adam Prentice,33901,Den,RB,NA,FA,Activated,Sun 8:20 pm vs LAR
Sep 19,Dillon Bell,42914,Min,WR,NA,FA,Activated,Sun 4:05 pm @ TB
Sep 19,Ale Kaho,42494,Was,LB,NA,FA,Activated,Sun 1:00 pm vs Sea
