Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,Joey Aguilar,42903,Jax,QB,,FA,On Injured Reserve,Sun 1:00 pm vs NE
Sep 23,Quintayvious Hutchins,42869,NE,"LB,DE",Q,FA,On Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Barion Brown,42812,NO,WR,Q,FA,On Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Wade Woodaz,42745,Hou,LB,,FA,On Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,Jadon Canady,42731,KC,CB,,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Eli Raridon,42717,NE,TE,Q,FA,On Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Brandon Cisse,42674,GB,CB,,FA,On Injured Reserve,Thu 8:15 pm vs Atl
Sep 23,Zion Young,42667,Bal,"LB,DE",Q,FA,On Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,Christen Miller,42664,NO,DT,Q,FA,On Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Mansoor Delane,42628,KC,CB,,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,David Bailey,42624,NYJ,"LB,DE",,FA,On Injured Reserve,Sun 1:00 pm @ Det
Sep 23,LeQuint Allen Jr.,42007,Jax,RB,Q,FA,On Injured Reserve,Sun 1:00 pm vs NE
Sep 23,Kiko Mauigoa,41948,NYJ,LB,Q,FA,On Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Jeffrey Bassa,41942,KC,LB,,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Teddye Buchanan,41908,Bal,LB,,FA,On Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,Craig Woodson,41897,NE,S,Q,FA,On Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Jonas Sanker,41879,NO,S,Q,FA,On Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Mason Taylor,41827,NYJ,TE,D,FA,On Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Malaki Starks,41812,Bal,S,Q,FA,On Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,Mason Graham,41790,Cle,DT,Q,FA,On Injured Reserve,Sun 1:00 pm vs Car
Sep 23,Jalen Coker,41293,Car,WR,Q,Dave’s Bone Crushers,On Injured Reserve,Sun 1:00 pm @ Cle
Sep 23,Isaiah Stalbird,41184,NO,LB,,FA,On Injured Reserve,Sun 4:25 pm vs LV
Sep 23,James Williams Sr.,41112,Ten,LB,,FA,On Injured Reserve,Sun 1:00 pm @ NYG
Sep 23,Jaden Hicks,40977,KC,"DB,S",,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Claudin Cherelus,40547,Car,LB,Q,FA,On Injured Reserve,Sun 1:00 pm @ Cle
Sep 23,Andrei Iosivas,40211,Cin,WR,O,FA,On Injured Reserve,Sun 1:00 pm @ Pit
Sep 23,Christian Braswell,40208,Jax,CB,,FA,On Injured Reserve,Sun 1:00 pm vs NE
Sep 23,Chamarri Conner,40160,KC,"DB,S",Q,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Tyjae Spears,40119,Ten,RB,Q,FA,On Injured Reserve,Sun 1:00 pm @ NYG
Sep 23,DeMarvion Overshown,40099,Dal,LB,Q,FA,On Injured Reserve,Sun 4:25 pm vs Bal
Sep 23,Joey Porter Jr.,40089,Pit,CB,Q,FA,On Injured Reserve,Sun 1:00 pm vs Cin
Sep 23,Rashee Rice,40084,KC,WR,,Locked In Michelle,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Zay Flowers,40039,Bal,WR,Q,Jason's Jazzy Team,On Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,Felix Anudike-Uzomah,40034,KC,DE,Q,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Will Anderson Jr.,40031,Hou,DE,,FA,On Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,Jack Cochrane,34432,KC,LB,,FA,On Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Jaylen Warren,34447,Pit,RB,Q,Dave’s Bone Crushers,On Injured Reserve,Sun 1:00 pm vs Cin
Sep 23,Brenden Schooler,34429,NE,"DB,S",NFI-R,FA,On Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Reed Blankenship,34376,Hou,S,,FA,On Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,Jake Hummel,34342,Hou,LB,Q,FA,On Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,James Houston,34173,Dal,"DL,LB,DE",,FA,On Injured Reserve,Sun 4:25 pm vs Bal
Sep 23,Cobie Durant,34098,Dal,"DB,CB",O,FA,On Injured Reserve,Sun 4:25 pm vs Bal
Sep 23,Cor'Dale Flott,34037,Ten,CB,Q,FA,On Injured Reserve,Sun 1:00 pm @ NYG
Sep 23,Martin Emerson Jr.,34024,NO,CB,Q,FA,On Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Logan Hall,33988,Hou,DE,Q,FA,On Injured Reserve,Sun 1:00 pm @ Ind
Sep 23,Devin Lloyd,33982,Car,LB,Q,FA,On Injured Reserve,Sun 1:00 pm @ Cle
Sep 23,Bobby Brown III,33505,Car,"DT,DE",,FA,On Injured Reserve,Sun 1:00 pm @ Cle
Sep 23,Kene Nwangwu,33507,NYJ,RB,Q,FA,On Injured Reserve,Sun 1:00 pm @ Det
