Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,Malick Meiga,43460,Sea,WR,NA,FA,Car to Sea,Sun 1:00 pm @ Was
Sep 23,Maximus Pulley,43211,LAR,S,,FA,Phi to LAR,Sun 8:20 pm @ Den
Sep 23,Jay Toia,42003,Ari,DT,NA,FA,Dal to Ari,Sun 4:05 pm @ SF
Sep 23,Naquan Jones,33833,SF,DT,,FA,Min to SF,Sun 4:05 pm vs Ari
Sep 23,Austin Johnson,29277,Buf,DT,NA,FA,Jax to Buf,Sun 1:00 pm vs LAC
Sep 23,Jaret Patterson,33706,Min,RB,NA,FA,AFC to NFC,Sun 4:05 pm @ TB
Sep 23,Kenny Moore II,30669,Phi,CB,NA,FA,AFC to NFC,Mon 8:15 pm @ Chi
Sep 23,Darius Rush,40170,Pit,CB,NA,FA,NFC to AFC,Sun 1:00 pm vs Cin
Sep 23,C.J. Ravenell,41582,NYG,DE,NA,FA,AFC to NFC,Sun 1:00 pm vs Ten
Sep 23,Isaiah Hodgins,32877,Pit,WR,NA,FA,NFC to AFC,Sun 1:00 pm vs Cin
Sep 23,Isaiahh Loudermilk,33544,NYJ,DT,NA,FA,NFC to AFC,Sun 1:00 pm @ Det
Sep 23,Krys Barnes,33221,Cle,LB,NA,FA,NFC to AFC,Sun 1:00 pm vs Car
Sep 23,Bishop Fitzgerald,42994,Det,S,,FA,AFC to NFC,Sun 1:00 pm vs NYJ
Sep 23,Nick McCloud,33818,Chi,CB,NA,FA,AFC to NFC,Mon 8:15 pm vs Phi
Sep 23,Tanner Conner,34513,NE,TE,NA,FA,NFC to AFC,Sun 1:00 pm @ Jax
Sep 23,Cody Hardy,43161,NYJ,TE,NA,FA,NFC to AFC,Sun 1:00 pm @ Det
Sep 23,Cody Hardy,43161,NYJ,TE,NA,FA,NO to NYJ,Sun 1:00 pm @ Det
Sep 23,Isaiahh Loudermilk,33544,NYJ,DT,NA,FA,Min to NYJ,Sun 1:00 pm @ Det
Sep 23,Brandin Cooks,27548,SF,WR,NA,FA,NO to SF,Sun 4:05 pm vs Ari
Sep 22,Bishop Fitzgerald,42994,Det,S,,FA,Pit to Det,Sun 1:00 pm vs NYJ
Sep 22,Robert Longerbeam,41998,Atl,CB,,FA,Phi to Atl,Thu 8:15 pm @ GB
Sep 22,Hayden Rucci,41692,LAC,TE,,FA,Jax to LAC,Sun 1:00 pm @ Buf
Sep 22,Brenden Bates,41675,Jax,TE,NA,FA,Cle to Jax,Sun 1:00 pm vs NE
Sep 22,C.J. Ravenell,41582,NYG,DE,NA,FA,Ten to NYG,Sun 1:00 pm vs Ten
Sep 22,Shedrick Jackson,40491,Bal,WR,NA,FA,LV to Bal,Sun 4:25 pm @ Dal
Sep 22,Darius Rush,40170,Pit,CB,NA,FA,Was to Pit,Sun 1:00 pm vs Cin
Sep 22,Will Levis,40068,NYJ,QB,NA,FA,Ten to NYJ,Sun 1:00 pm @ Det
Sep 22,Tanner Conner,34513,NE,TE,NA,FA,NYG to NE,Sun 1:00 pm @ Jax
Sep 22,Nick McCloud,33818,Chi,CB,NA,FA,Mia to Chi,Mon 8:15 pm vs Phi
Sep 22,Jaret Patterson,33706,Min,RB,NA,FA,LAC to Min,Sun 4:05 pm @ TB
Sep 22,Ihmir Smith-Marsette,33545,Car,WR,NA,FA,Ari to Car,Sun 1:00 pm @ Cle
Sep 22,Krys Barnes,33221,Cle,LB,NA,FA,Was to Cle,Sun 1:00 pm vs Car
Sep 22,Isaiah Hodgins,32877,Pit,WR,NA,FA,NYG to Pit,Sun 1:00 pm vs Cin
Sep 22,Kenny Moore II,30669,Phi,CB,NA,FA,Ind to Phi,Mon 8:15 pm @ Chi
Sep 22,Darius Slayton,32003,Ind,WR,,FA,NFC to AFC,Sun 1:00 pm vs Hou
Sep 22,Darius Slayton,32003,Ind,WR,,FA,NYG to Ind,Sun 1:00 pm vs Hou
Sep 22,Zach Ertz,26658,Phi,TE,NA,FA,Was to Phi,Mon 8:15 pm @ Chi
Sep 21,Andre Jones Jr.,40247,Mia,"LB,DE",,FA,Buf to Mia,Sun 1:00 pm vs KC
Sep 19,Nikko Reed,42141,NYG,CB,,FA,LAC to NYG,Sun 1:00 pm vs Ten
Sep 19,Nikko Reed,42141,NYG,CB,,FA,AFC to NFC,Sun 1:00 pm vs Ten
Sep 18,E.J. Williams Jr.,43129,Car,WR,NA,FA,AFC to NFC,Sun 1:00 pm @ Cle
Sep 18,Jimmy Horn Jr.,41999,Cle,WR,NA,FA,NFC to AFC,Sun 1:00 pm vs Car
Sep 17,E.J. Williams Jr.,43129,Car,WR,NA,FA,LV to Car,Sun 1:00 pm @ Cle
Sep 17,Bryce Oliver,41251,Hou,WR,NA,FA,Ten to Hou,Sun 1:00 pm @ Ind
Sep 17,Jimmy Horn Jr.,41999,Cle,WR,NA,FA,Car to Cle,Sun 1:00 pm vs Car
Sep 17,Skyler Thomas,43629,Chi,S,,FA,to NFC,Mon 8:15 pm vs Phi
Sep 17,Michael Heldman,42947,KC,DE,NA,FA,NFC to AFC,Sun 1:00 pm @ Mia
Sep 17,Jerrick Reed II,40239,Ari,S,NA,FA,AFC to NFC,Sun 4:05 pm @ SF
Sep 17,Quincy Skinner Jr.,42187,GB,WR,NA,FA,AFC to NFC,Thu 8:15 pm vs Atl
Sep 17,Jaden Robinson,42070,NYG,CB,NA,FA,AFC to NFC,Sun 1:00 pm vs Ten
Sep 17,Quincy Skinner Jr.,42187,GB,WR,NA,FA,NYJ to GB,Thu 8:15 pm vs Atl
Sep 17,Jaden Robinson,42070,NYG,CB,NA,FA,Den to NYG,Sun 1:00 pm vs Ten
Sep 17,Eric Johnson II,34115,GB,DT,NA,FA,Atl to GB,Thu 8:15 pm vs Atl
Sep 17,Jerome Ford,34112,Min,RB,NA,FA,Was to Min,Sun 4:05 pm @ TB
Sep 16,Marvin Jones Jr.,43006,Was,"LB,DE",NA,FA,Sea to Was,Sun 1:00 pm vs Sea
Sep 16,Michael Heldman,42947,KC,DE,NA,FA,NO to KC,Sun 1:00 pm @ Mia
Sep 16,Austin Keys,42256,Was,LB,NA,FA,Ari to Was,Sun 1:00 pm vs Sea
