Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 17,Skyler Thomas,43629,Chi,S,,FA,Added S,Mon 8:15 pm vs Phi
Sep 16,Dorance Armstrong,31086,Was,"LB,DE",Q,FA,Added LB,Sun 1:00 pm vs Sea
Sep 11,Kyle Louis,42760,Mia,"LB,S",IR,FA,Added S,Sun 1:00 pm vs KC
Sep 9,Desjuan Johnson,40270,LAR,"LB,DE",,FA,Added LB,Sun 8:20 pm @ Den
Sep 9,Aaron Donald,27541,LAR,"DT,DE",,FA,Added DE,Sun 8:20 pm @ Den
Sep 9,A.J. Epenesa,32724,Phi,"LB,DE",,FA,Added LB,Mon 8:15 pm @ Chi
Sep 9,Myles Garrett,30114,LAR,"LB,DE",IR,FA,Added LB,Sun 8:20 pm @ Den
Aug 31,Aaron Donald,27541,LAR,"DT,DE",,FA,Added DT,Sun 8:20 pm @ Den
Aug 31,Jah Joyner,42299,SF,DE,NA,FA,Added DE,Sun 4:05 pm vs Ari
Aug 28,Niles King,42924,KC,"LB,DE",NA,FA,Added DE,Sun 1:00 pm @ Mia
Aug 27,Joshuah Bledsoe,33576,Was,S,NA,FA,Added S,Sun 1:00 pm vs Sea
Aug 27,Boogie Basham,33449,Was,LB,NA,FA,Added LB,Sun 1:00 pm vs Sea
Aug 27,Michael Barrett,41121,Bal,LB,NA,FA,Added LB,Sun 4:25 pm @ Dal
Aug 27,Derek Parish,40254,Hou,DE,NA,FA,Added DE,Sun 1:00 pm @ Ind
Aug 27,Jaheim Thomas,43611,Mia,LB,NA,FA,Added LB,Sun 1:00 pm vs KC
Aug 27,Matthew Henry,43615,TB,WR,NA,FA,Added WR,Sun 4:05 pm vs Min
Aug 27,Israel Antwine,34241,Den,DT,NA,FA,Added DT,Sun 8:20 pm vs LAR
Aug 27,Ron Stone Jr.,41161,Den,DE,NA,FA,Added DE,Sun 8:20 pm vs LAR
Aug 26,Quindell Johnson,40386,Was,S,NA,FA,Added S,Sun 1:00 pm vs Sea
Aug 26,Dyontae Johnson,40536,Ten,LB,NA,FA,Added LB,Sun 1:00 pm @ NYG
Aug 26,Josh Minkins,42288,Ari,S,NA,FA,Added S,Sun 4:05 pm @ SF
Aug 26,Antonio Grier Jr.,41285,Chi,LB,NA,FA,Added LB,Mon 8:15 pm vs Phi
Aug 25,Jason Taylor II,40287,Det,S,NA,FA,Added S,Sun 1:00 pm vs NYJ
Aug 25,Steven Gilmore,40753,LAR,CB,NA,FA,Added CB,Sun 8:20 pm @ Den
Aug 25,Jonathan Harris,32254,Min,"DT,DE",NA,FA,Added DE,Sun 4:05 pm @ TB
Aug 25,Jonathan Harris,32254,Min,"DT,DE",NA,FA,Added DT,Sun 4:05 pm @ TB
Aug 25,Devyn Bobby,43612,Ari,S,NA,FA,Added S,Sun 4:05 pm @ SF
Aug 25,Alex Tecza,43609,Pit,RB,NA,FA,Added RB,Sun 1:00 pm vs Cin
Aug 25,Jaylen Mahoney,41623,Phi,S,NA,FA,Added S,Mon 8:15 pm @ Chi
Aug 24,Gary Jennings,31952,LAC,WR,NA,FA,Added WR,Sun 1:00 pm @ Buf
Aug 22,Tanoh Kpassagnon,30172,Ten,DE,IR,FA,Added DE,Sun 1:00 pm @ NYG
Aug 20,Jamil Muhammad,42318,Cle,"LB,DE",NA,FA,Added DE,Sun 1:00 pm vs Car
Aug 20,D'Ernest Johnson,32608,Ten,RB,NA,FA,Added RB,Sun 1:00 pm @ NYG
Aug 19,Za'Darius Smith,28510,Atl,"LB,DE",,FA,Added LB,Thu 8:15 pm @ GB
Aug 19,Tre' McKitty,33485,Was,TE,NA,FA,Added TE,Sun 1:00 pm vs Sea
Aug 19,Keenan Garber,42257,NYJ,CB,NA,FA,Added CB,Sun 1:00 pm @ Det
Aug 19,Maurice Hurst,31110,Was,DT,NA,FA,Added DT,Sun 1:00 pm vs Sea
Aug 19,Za'Darius Smith,28510,Atl,"LB,DE",,FA,Added DE,Thu 8:15 pm @ GB
Aug 18,Kenny Dyson,41688,Min,LB,NA,FA,Added LB,Sun 4:05 pm @ TB
Aug 18,Baylon Spector,34187,Jax,LB,NA,FA,Added LB,Sun 1:00 pm vs NE
Aug 18,Craig Reynolds,32596,Was,RB,NA,FA,Added RB,Sun 1:00 pm vs Sea
Aug 18,Jermaine Terry,42446,Cle,TE,NA,FA,Added TE,Sun 1:00 pm vs Car
Aug 18,Deantre Prince,41024,Chi,CB,NA,FA,Added CB,Mon 8:15 pm vs Phi
Aug 18,Barika Kpeenu,43482,TB,RB,NA,FA,Added RB,Sun 4:05 pm vs Min
Aug 18,Julian Hicks,41451,Sea,WR,NA,FA,Added WR,Sun 1:00 pm @ Was
Aug 18,Bryce Hall,32828,Hou,CB,NA,FA,Added CB,Sun 1:00 pm @ Ind
Aug 18,Cam Rice,43483,Mia,DT,NA,FA,Added DT,Sun 1:00 pm vs KC
Aug 18,Isaiah Bolden,40262,Phi,CB,NA,FA,Added CB,Mon 8:15 pm @ Chi
Aug 18,Corey Mayfield Jr.,40661,Ten,CB,NA,FA,Added CB,Sun 1:00 pm @ NYG
Aug 17,Travis Clayton,41103,Buf,DT,NA,FA,Added DT,Sun 1:00 pm vs LAC
Aug 17,Jonathan Ward,33088,Bal,RB,NA,FA,Added RB,Sun 4:25 pm @ Dal
Aug 17,Keveion'ta Spears,43481,Ari,DT,NA,FA,Added DT,Sun 4:05 pm @ SF
Aug 17,Ekow Boye-Doe,40719,Det,CB,NA,FA,Added CB,Sun 1:00 pm vs NYJ
Aug 16,Baylor Cupp,41556,Ari,TE,NA,FA,Added TE,Sun 4:05 pm @ SF
Aug 16,Tre Stewart,42271,Ari,RB,NA,FA,Added RB,Sun 4:05 pm @ SF
Aug 14,Monty Rice,33480,LAR,LB,NA,FA,Added LB,Sun 8:20 pm @ Den
Aug 14,Daniel Rickert,43474,LAR,"LB,DE",IR,FA,Added LB,Sun 8:20 pm @ Den
Aug 13,Treydan Stukes,42660,LV,"S,CB",Q,FA,Added S,Sun 4:25 pm @ NO
Aug 13,Tra Fluellen,41773,GB,S,NA,FA,Added S,Thu 8:15 pm vs Atl
Aug 13,Austin Reed,41220,Bal,QB,NA,FA,Added QB,Sun 4:25 pm @ Dal
Aug 13,JaMycal Hasty,33199,NE,RB,NA,FA,Added RB,Sun 1:00 pm @ Jax
Aug 12,Byron Cowart,31991,Was,DT,NA,FA,Added DT,Sun 1:00 pm vs Sea
Aug 12,Boog Smith,42462,Sea,LB,NA,FA,Added LB,Sun 1:00 pm @ Was
Aug 12,Jonathan Bullard,29306,Dal,"DL,DT,DE",,FA,Added DT,Sun 4:25 pm vs Bal
Aug 12,Ja'Marcus Ingram,34684,Hou,"S,CB",IR-R,FA,Added S,Sun 1:00 pm @ Ind
Aug 12,Tyrus Wheat,40776,Dal,"LB,DE",,FA,Added LB,Sun 4:25 pm vs Bal
Aug 12,Amari Burney,40235,Jax,LB,NA,FA,Added LB,Sun 1:00 pm vs NE
Aug 12,Curtis Jacobs,41465,Was,LB,NA,FA,Added LB,Sun 1:00 pm vs Sea
Aug 11,Jeffrey M'ba,43100,Was,"DT,DE",NA,FA,Added DT,Sun 1:00 pm vs Sea
