Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Trey McBride,34010,Ari,TE,,Sun 4:05 pm @ SF,Maybe Mitchell,1,14,12.79,40,59,100%,-,-,-,0.0,0.2,0.0,9.6,6.7,65.2,0.5,-,0.0,0.0
Brock Bowers,40878,LV,TE,Q,Sun 4:25 pm @ NO,Owl Out Blitz,1,13,11.24,47,78,100%,-,-,-,0.1,0.4,0.0,8.0,5.9,58.2,0.4,-,0.0,0.0
Dalton Kincaid,40048,Buf,TE,,Sun 1:00 pm vs LAC,Jason's Jazzy Team,1,7,9.94,53,87,96%,-,-,-,-,-,-,6.5,4.2,58.0,0.3,-,0.0,0.0
George Kittle,30259,SF,TE,,Sun 4:05 pm vs Ari,Owl Out Blitz,1,8,9.70,88,91,96%,-,-,-,0.0,0.0,-,5.4,4.3,53.3,0.4,-,0.0,0.0
Tucker Kraft,40102,GB,TE,,Thu 8:15 pm vs Atl,Max’s TD Bombers,1,11,9.49,102,95,98%,-,-,-,0.1,0.3,0.0,5.8,3.9,53.3,0.4,-,0.0,0.0
Sam LaPorta,40064,Det,TE,,Sun 1:00 pm vs NYJ,Maybe Mitchell,1,6,9.41,94,97,99%,-,-,-,0.0,0.1,0.0,6.0,4.6,49.9,0.4,-,0.0,0.0
Travis Kelce,26686,KC,TE,,Sun 1:00 pm @ Mia,Sunday Kevin,1,5,9.38,98,98,95%,-,-,-,0.0,0.0,-,5.9,4.6,51.3,0.3,-,0.0,0.0
Tyler Warren,41799,Ind,TE,,Sun 1:00 pm vs Hou,Sunday Kevin,1,13,9.24,85,102,99%,-,-,-,0.4,1.3,0.0,7.0,4.8,47.3,0.3,-,0.0,0.0
Mark Andrews,31056,Bal,TE,,Sun 4:25 pm @ Dal,Dave’s Bone Crushers,1,13,9.17,139,104,88%,-,-,-,0.3,1.3,0.0,5.6,4.3,44.2,0.4,-,0.0,0.0
Hunter Henry,29269,NE,TE,,Sun 1:00 pm @ Jax,Monday Night Madison,1,11,8.62,157,116,56%,-,-,-,-,-,-,5.6,4.1,47.6,0.3,-,0.0,0.0
Dalton Schultz,31107,Hou,TE,,Sun 1:00 pm @ Ind,Jason's Jazzy Team,1,8,8.60,144,118,65%,-,-,-,-,-,-,7.2,4.6,47.7,0.3,-,0.0,0.0
Harold Fannin Jr.,41877,Cle,TE,,Sun 1:00 pm vs Car,Locked In Michelle,1,11,8.42,117,127,93%,-,-,-,0.3,1.0,0.0,5.6,4.3,44.0,0.3,-,0.0,0.0
Isaiah Likely,34095,NYG,TE,,Sun 1:00 pm vs Ten,Max’s TD Bombers,1,8,8.16,112,136,94%,-,-,-,-,-,-,5.7,4.3,44.8,0.3,-,0.0,0.0
Colston Loveland,41795,Chi,TE,,Mon 8:15 pm vs Phi,Steel City,1,10,8.07,116,137,98%,-,-,-,0.0,0.1,0.0,5.6,3.8,42.7,0.3,-,0.0,0.0
Juwan Johnson,33113,NO,TE,,Sun 4:25 pm vs LV,Steel City,1,8,8.01,131,140,75%,-,-,-,-,-,-,5.4,3.9,46.3,0.2,-,0.0,0.0
Jake Ferguson,34085,Dal,TE,,Sun 4:25 pm vs Bal,JGrahnasaurs,1,14,7.57,133,159,76%,-,-,-,0.0,0.1,0.0,5.3,4.2,35.5,0.3,-,0.0,0.0
Kyle Pitts Sr.,33392,Atl,TE,,Thu 8:15 pm @ GB,Dave’s Bone Crushers,1,11,7.26,126,172,91%,-,-,-,-,-,-,5.2,3.8,39.2,0.2,-,0.0,0.0
