Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Jaxon Smith-Njigba,40041,Sea,WR,,Sun 1:00 pm @ Was,Maybe Mitchell,1,11,17.25,4,21,100%,-,-,-,0.5,2.5,0.0,9.5,6.5,99.3,0.6,-,0.0,0.0
Amon-Ra St. Brown,33500,Det,WR,,Sun 1:00 pm vs NYJ,Sunday Kevin,1,6,16.86,5,23,100%,-,-,-,0.2,1.0,0.0,10.3,7.1,88.3,0.7,-,0.0,0.0
Ja'Marr Chase,33393,Cin,WR,,Sun 1:00 pm @ Pit,Steel City,1,6,16.34,11,28,100%,-,-,-,0.2,1.1,0.0,10.4,7.5,90.7,0.6,-,0.0,0.0
CeeDee Lamb,32687,Dal,WR,,Sun 4:25 pm vs Bal,Owl Out Blitz,1,14,15.51,14,37,100%,-,-,-,0.3,1.2,0.0,9.3,6.5,90.7,0.5,-,0.0,0.0
Chris Olave,33966,NO,WR,,Sun 4:25 pm vs LV,Sunday Kevin,1,8,14.60,17,41,100%,-,-,-,0.0,0.2,0.0,9.5,6.2,82.0,0.6,-,0.0,0.0
Puka Nacua,40168,LAR,WR,Q,Sun 8:20 pm @ Den,Owl Out Blitz,1,11,14.60,12,42,100%,-,-,-,0.6,4.3,0.0,9.6,6.1,81.4,0.5,-,0.0,0.0
Zay Flowers,40039,Bal,WR,Q,Sun 4:25 pm @ Dal,Jason's Jazzy Team,1,13,14.54,27,44,99%,-,-,-,0.3,1.8,0.0,7.8,5.5,84.7,0.5,-,0.0,0.0
Justin Jefferson,32692,Min,WR,,Sun 4:05 pm @ TB,Maybe Mitchell,1,6,13.42,15,52,100%,-,-,-,0.2,0.7,0.0,9.0,5.7,74.4,0.5,-,0.0,0.0
George Pickens,34007,Dal,WR,,Sun 4:25 pm vs Bal,Locked In Michelle,1,14,13.37,24,53,100%,-,-,-,0.0,0.2,0.0,7.8,5.4,79.9,0.4,-,0.0,0.0
Nico Collins,33477,Hou,WR,Q,Sun 1:00 pm @ Ind,Steel City,1,8,13.29,26,56,100%,-,-,-,0.2,0.9,0.0,7.5,4.9,78.5,0.5,-,0.0,0.0
Christian Watson,33989,GB,WR,,Thu 8:15 pm vs Atl,Sunday Kevin,1,11,13.12,31,57,97%,-,-,-,0.1,0.7,0.0,8.0,4.4,74.3,0.6,-,0.0,0.0
Garrett Wilson,33965,NYJ,WR,,Sun 1:00 pm @ Det,Steel City,1,13,12.62,34,60,98%,-,-,-,0.1,0.6,0.0,9.0,5.8,72.5,0.4,-,0.0,0.0
