Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Jahmyr Gibbs,40059,Det,RB,,Sun 1:00 pm vs NYJ,Locked In Michelle,1,6,21.28,1,3,100%,-,-,-,20.3,96.3,0.7,5.5,4.4,35.1,0.3,-,0.1,0.1
Christian McCaffrey,30121,SF,RB,,Sun 4:05 pm vs Ari,Jason's Jazzy Team,1,8,18.71,9,12,100%,-,-,-,16.3,69.2,0.6,5.5,4.7,41.4,0.3,-,0.0,0.1
Bijan Robinson,40055,Atl,RB,,Thu 8:15 pm @ GB,Dave’s Bone Crushers,1,11,17.87,2,16,100%,-,-,-,18.5,80.2,0.4,5.9,4.5,37.9,0.2,-,0.0,0.1
Kenneth Walker III,33996,KC,RB,,Sun 1:00 pm @ Mia,Max’s TD Bombers,1,5,17.65,6,17,100%,-,-,-,17.4,82.2,0.7,4.1,3.3,27.2,0.2,-,0.0,0.1
Jaxon Smith-Njigba,40041,Sea,WR,,Sun 1:00 pm @ Was,Maybe Mitchell,1,11,17.25,4,21,100%,-,-,-,0.5,2.5,0.0,9.5,6.5,99.3,0.6,-,0.0,0.0
Derrick Henry,29279,Bal,RB,,Sun 4:25 pm @ Dal,JGrahnasaurs,1,13,16.99,8,22,100%,-,-,-,18.2,96.4,0.8,1.7,1.4,13.5,0.1,-,0.1,0.1
Amon-Ra St. Brown,33500,Det,WR,,Sun 1:00 pm vs NYJ,Sunday Kevin,1,6,16.86,5,23,100%,-,-,-,0.2,1.0,0.0,10.3,7.1,88.3,0.7,-,0.0,0.0
Jonathan Taylor,32711,Ind,RB,,Sun 1:00 pm vs Hou,Max’s TD Bombers,1,13,16.34,3,27,100%,-,-,-,19.9,83.8,0.6,3.7,2.8,21.8,0.1,-,0.1,0.1
Ja'Marr Chase,33393,Cin,WR,,Sun 1:00 pm @ Pit,Steel City,1,6,16.34,11,28,100%,-,-,-,0.2,1.1,0.0,10.4,7.5,90.7,0.6,-,0.0,0.0
De'Von Achane,40118,Mia,RB,,Sun 1:00 pm vs KC,Jason's Jazzy Team,1,6,15.57,23,36,100%,-,-,-,15.2,70.8,0.4,5.2,4.3,29.8,0.2,-,0.0,0.1
CeeDee Lamb,32687,Dal,WR,,Sun 4:25 pm vs Bal,Owl Out Blitz,1,14,15.51,14,37,100%,-,-,-,0.3,1.2,0.0,9.3,6.5,90.7,0.5,-,0.0,0.0
James Cook III,34019,Buf,RB,,Sun 1:00 pm vs LAC,Sunday Kevin,1,7,15.24,7,39,100%,-,-,-,17.2,80.5,0.6,3.1,2.2,17.9,0.1,-,0.0,0.1
Chris Olave,33966,NO,WR,,Sun 4:25 pm vs LV,Sunday Kevin,1,8,14.60,17,41,100%,-,-,-,0.0,0.2,0.0,9.5,6.2,82.0,0.6,-,0.0,0.0
Puka Nacua,40168,LAR,WR,Q,Sun 8:20 pm @ Den,Owl Out Blitz,1,11,14.60,12,42,100%,-,-,-,0.6,4.3,0.0,9.6,6.1,81.4,0.5,-,0.0,0.0
Zay Flowers,40039,Bal,WR,Q,Sun 4:25 pm @ Dal,Jason's Jazzy Team,1,13,14.54,27,44,99%,-,-,-,0.3,1.8,0.0,7.8,5.5,84.7,0.5,-,0.0,0.0
Chase Brown,40196,Cin,RB,,Sun 1:00 pm @ Pit,Steel City,1,6,14.50,10,45,100%,-,-,-,15.3,60.9,0.4,5.0,4.1,25.6,0.2,-,0.0,0.1
Breece Hall,33991,NYJ,RB,,Sun 1:00 pm @ Det,Maybe Mitchell,1,13,14.26,32,46,99%,-,-,-,15.3,66.5,0.4,3.8,3.2,27.6,0.2,-,0.0,0.1
Ashton Jeanty,41791,LV,RB,,Sun 4:25 pm @ NO,Max’s TD Bombers,1,13,13.99,13,48,100%,-,-,-,17.2,61.3,0.4,5.5,3.9,23.7,0.2,-,0.0,0.1
Chuba Hubbard,33514,Car,RB,,Sun 1:00 pm @ Cle,Jason's Jazzy Team,1,5,13.70,63,50,93%,-,-,-,18.6,75.6,0.4,3.0,2.4,16.1,0.1,-,0.0,0.1
Saquon Barkley,30972,Phi,RB,Q,Mon 8:15 pm @ Chi,Monday Night Madison,1,10,13.64,16,51,100%,-,-,-,16.9,75.5,0.4,3.0,2.2,18.0,0.1,-,0.0,0.1
Justin Jefferson,32692,Min,WR,,Sun 4:05 pm @ TB,Maybe Mitchell,1,6,13.42,15,52,100%,-,-,-,0.2,0.7,0.0,9.0,5.7,74.4,0.5,-,0.0,0.0
George Pickens,34007,Dal,WR,,Sun 4:25 pm vs Bal,Locked In Michelle,1,14,13.37,24,53,100%,-,-,-,0.0,0.2,0.0,7.8,5.4,79.9,0.4,-,0.0,0.0
Omarion Hampton,41807,LAC,RB,,Sun 1:00 pm @ Buf,Monday Night Madison,1,7,13.37,20,54,100%,-,-,-,15.9,72.6,0.5,2.6,2.5,15.0,0.1,-,0.0,0.1
Javonte Williams,33423,Dal,RB,,Sun 4:25 pm vs Bal,JGrahnasaurs,1,14,13.32,19,55,100%,-,-,-,15.7,62.7,0.6,3.1,2.4,13.3,0.1,-,0.1,0.1
Nico Collins,33477,Hou,WR,Q,Sun 1:00 pm @ Ind,Steel City,1,8,13.29,26,56,100%,-,-,-,0.2,0.9,0.0,7.5,4.9,78.5,0.5,-,0.0,0.0
Christian Watson,33989,GB,WR,,Thu 8:15 pm vs Atl,Sunday Kevin,1,11,13.12,31,57,97%,-,-,-,0.1,0.7,0.0,8.0,4.4,74.3,0.6,-,0.0,0.0
Cam Skattebo,41922,NYG,RB,,Sun 1:00 pm vs Ten,Locked In Michelle,1,8,12.91,45,58,98%,-,-,-,15.8,65.4,0.5,2.6,2.3,19.6,0.1,-,0.0,0.1
Trey McBride,34010,Ari,TE,,Sun 4:05 pm @ SF,Maybe Mitchell,1,14,12.79,40,59,100%,-,-,-,0.0,0.2,0.0,9.6,6.7,65.2,0.5,-,0.0,0.0
Garrett Wilson,33965,NYJ,WR,,Sun 1:00 pm @ Det,Steel City,1,13,12.62,34,60,98%,-,-,-,0.1,0.6,0.0,9.0,5.8,72.5,0.4,-,0.0,0.0
Tee Higgins,32703,Cin,WR,,Sun 1:00 pm @ Pit,Jason's Jazzy Team,1,6,12.62,43,61,99%,-,-,-,0.0,0.2,0.0,7.2,4.9,75.1,0.4,-,0.0,0.0
DeVonta Smith,33398,Phi,WR,,Mon 8:15 pm @ Chi,Max’s TD Bombers,1,10,12.60,18,62,100%,-,-,-,0.0,0.1,-,8.4,5.4,74.0,0.4,-,0.0,0.0
Bucky Irving,40993,TB,RB,,Sun 4:05 pm vs Min,Sunday Kevin,1,10,12.35,35,63,98%,-,-,-,15.4,57.4,0.4,3.9,2.8,21.8,0.1,-,0.0,0.1
Quinshon Judkins,41821,Cle,RB,,Sun 1:00 pm vs Car,Owl Out Blitz,1,11,12.30,76,64,96%,-,-,-,16.6,64.3,0.5,2.7,2.5,15.7,0.1,-,0.0,0.1
David Montgomery,31905,Hou,RB,,Sun 1:00 pm @ Ind,Maybe Mitchell,1,8,12.29,42,65,98%,-,-,-,14.6,54.9,0.6,2.6,2.0,16.1,0.1,-,0.0,0.1
Parker Washington,40234,Jax,WR,,Sun 1:00 pm vs NE,Max’s TD Bombers,1,7,12.13,30,66,96%,-,-,-,0.4,1.7,0.0,8.4,4.8,67.7,0.4,0.0,0.0,0.0
Kyren Williams,34120,LAR,RB,,Sun 8:20 pm @ Den,Locked In Michelle,1,11,11.97,22,67,100%,-,-,-,13.7,61.2,0.5,2.7,1.8,12.2,0.1,-,0.0,0.1
Drake London,33963,Atl,WR,,Thu 8:15 pm @ GB,Dave’s Bone Crushers,1,11,11.96,39,68,100%,-,-,-,0.1,0.9,0.0,8.4,5.1,67.2,0.4,-,0.0,0.0
D'Andre Swift,32705,Chi,RB,,Mon 8:15 pm vs Phi,Owl Out Blitz,1,10,11.92,21,69,98%,-,-,-,14.4,64.2,0.4,3.0,2.0,15.5,0.1,-,0.0,0.1
